group,horizon_step,subset,RMSE,MAE,R2,CP,PINW,MPIW,Reliability,CWC,n_samples,n_elements,CRPS
Ankara,1,all_hours,58.59659194946289,35.00404357910156,0.9565025556786165,0.9559506284678971,0.1763346791267395,179.69033813476562,0.005950628467897179,0.1763346791267395,8831,8831,
Ankara,2,all_hours,60.2736701965332,35.5374641418457,0.9539770719421415,0.9484769561771034,0.176370307803154,179.7266387939453,0.001523043822896586,0.3666962328317118,8831,8831,
Ankara,3,all_hours,61.99637985229492,35.88460159301758,0.951308666321513,0.9403238591326011,0.17709487676620483,180.46499633789062,0.009676140867398875,0.464385020613215,8831,8831,
Ankara,4,all_hours,64.38566589355469,36.64364242553711,0.9474833091954087,0.9334163741365644,0.17594526708126068,179.29351806640625,0.016583625863435536,0.5791136334900967,8831,8831,
Ankara,5,all_hours,65.88040161132812,37.212425231933594,0.9450166158948337,0.9301324878269731,0.17706280946731567,180.4323272705078,0.019867512173026847,0.6551916007484803,8831,8831,
Ankara,6,all_hours,67.71566009521484,38.318382263183594,0.941912643634372,0.929566300532216,0.177134707570076,180.50558471679688,0.02043369946778395,0.6691921567108319,8831,8831,
Ankara,7,all_hours,68.69286346435547,38.73893356323242,0.9402256456898336,0.9259427018457705,0.177279993891716,180.6536407470703,0.024057298154229412,0.7675589763794791,8831,8831,
Ankara,8,all_hours,69.16419219970703,38.93098068237305,0.9393982729396545,0.923904427584645,0.17748905718326569,180.86668395996094,0.026095572415354984,0.831868635524976,8831,8831,
Ankara,9,all_hours,69.84295654296875,39.438629150390625,0.9381910306683643,0.9197146416034424,0.17965279519557953,183.07159423828125,0.03028535839655755,0.9963708951181274,8831,8831,
Ankara,10,all_hours,69.23039245605469,38.801570892333984,0.9392533262765749,0.9234514777488393,0.18282754719257355,186.3067626953125,0.026548522251160667,0.8723294493830256,8831,8831,
Ankara,11,all_hours,68.07170867919922,37.74082565307617,0.9412483078340795,0.9293398256143132,0.18357914686203003,187.07266235351562,0.02066017438568679,0.6993458883199055,8831,8831,
Ankara,12,all_hours,67.35958099365234,37.09687805175781,0.9424566027140413,0.9283206884837504,0.184037983417511,187.5402374267578,0.021679311516249578,0.72812421255268,8831,8831,
Ankara,13,all_hours,67.14958953857422,36.92747497558594,0.9428058037088023,0.9297927754501188,0.18391984701156616,187.4198455810547,0.02020722454988111,0.6890728078328799,8831,8831,
Ankara,14,all_hours,67.10235595703125,36.78091812133789,0.9428807861120801,0.9277545011889933,0.18211370706558228,185.57933044433594,0.02224549881100668,0.735970522052842,8831,8831,
