mode,city,horizon_step,season,n_calibration,k_cell,k_applied,fell_back,direction
city_season,Ankara,all,DJF,22271,0.865380243745268,0.865380243745268,False,narrower
city_season,Ankara,all,MAM,6660,0.8499302869544483,0.8499302869544483,False,narrower
city_season,Ankara,all,JJA,22212,0.7188553323530771,0.7188553323530771,False,narrower
city_season,Ankara,all,SON,24895,0.8319350756786902,0.8319350756786902,False,narrower
city_season,Antalya,all,DJF,22487,0.8493733661779775,0.8493733661779775,False,narrower
city_season,Antalya,all,MAM,6660,0.7864987431298198,0.7864987431298198,False,narrower
city_season,Antalya,all,JJA,21896,0.7013670084628273,0.7013670084628273,False,narrower
city_season,Antalya,all,SON,24842,0.8039268470380019,0.8039268470380019,False,narrower
city_season,Konya,all,DJF,22391,0.8909584951470068,0.8909584951470068,False,narrower
city_season,Konya,all,MAM,6660,0.9339791193191876,0.9339791193191876,False,narrower
city_season,Konya,all,JJA,21972,0.692485503910668,0.692485503910668,False,narrower
city_season,Konya,all,SON,25063,0.8258895363933496,0.8258895363933496,False,narrower
city_season,Rize,all,DJF,21342,0.9752949217913328,0.9752949217913328,False,narrower
city_season,Rize,all,MAM,6685,1.126819204875321,1.126819204875321,False,wider
city_season,Rize,all,JJA,22670,0.8305548783938983,0.8305548783938983,False,narrower
city_season,Rize,all,SON,24596,1.0153392024424026,1.0153392024424026,False,wider
city_season,Van,all,DJF,22391,0.7853649039796201,0.7853649039796201,False,narrower
city_season,Van,all,MAM,6660,0.7804599999213016,0.7804599999213016,False,narrower
city_season,Van,all,JJA,22472,0.7674988048999104,0.7674988048999104,False,narrower
city_season,Van,all,SON,24650,0.8413214391544195,0.8413214391544195,False,narrower
