group,horizon_step,n_elements,k_mean,CP_before,CP_after,MPIW_before,MPIW_after,Reliability_before,Reliability_after,CWC_before,CWC_after
Aggregate,all,546130,1.523911714553833,0.8228773368978082,0.9427315840550785,291.5931701660156,429.0740966796875,0.12712266310219178,0.007268415944921447,161.17012627065242,1.0021419103045623
Ankara,all,109644,1.4383960962295532,0.8343092189267083,0.9431250228010652,296.16436767578125,413.0796813964844,0.11569078107329167,0.006874977198934706,94.91180183384033,0.9780297450717476
Antalya,all,108468,1.3558298349380493,0.8664122137404581,0.9473761846811963,312.3855285644531,410.8497009277344,0.08358778625954189,0.002623815318803624,20.279008989269627,0.8606105863045
Konya,all,109476,1.4934550523757935,0.834593883590924,0.9446362673097299,306.94610595703125,444.82666015625,0.11540611640907594,0.005363732690270018,95.5506581645173,0.9934748696426534
Rize,all,109043,1.9280259609222412,0.7513274579752941,0.9459387581046009,238.814453125,456.36376953125,0.19867254202470586,0.004061241895399026,5022.112028877933,1.0359897341580762
Van,all,109499,1.4040600061416626,0.8278431766500151,0.9326386542342853,303.62835693359375,420.21728515625,0.1221568233499849,0.017361345765714686,131.1910490072451,1.3635814149847227
Aggregate,1,22758,1.5237778425216675,0.9113278846998858,0.9776342385095351,290.3681640625,427.1260681152344,0.03867211530011416,0.02763423850953517,2.20134017818339,0.40914419293403625
Aggregate,2,22758,1.5237778425216675,0.8916864399332103,0.9694612883381668,291.1114807128906,428.08319091796875,0.05831356006678967,0.01946128833816685,5.426902784310123,0.4100610315799713
Aggregate,3,22758,1.5237778425216675,0.8710783021355127,0.961639862905352,287.7301025390625,423.0570373535156,0.07892169786448722,0.011639862905352016,14.53394227647353,0.40524646639823914
Aggregate,4,22758,1.5237778425216675,0.8375076896036558,0.948062219878724,285.0500793457031,419.1379699707031,0.11249231039634411,0.0019377801212759893,75.95302268690094,0.8438318389425158
Aggregate,5,22758,1.5237778425216675,0.8271816504086476,0.9440636259776782,284.0785217285156,417.7739562988281,0.1228183495913524,0.005936374022321722,126.66577481339779,0.9386643928352009
Aggregate,6,22753,1.5237858295440674,0.8251219619390849,0.9422493737089614,284.8973693847656,419.0352783203125,0.12487803806091502,0.007750626291038509,140.78086017172606,0.9927835680622209
Aggregate,7,22753,1.5238494873046875,0.8285061310596404,0.9451940403463279,289.1440734863281,425.2774658203125,0.12149386894035952,0.004805959653672032,120.68084005876688,0.9254008932091393
Aggregate,8,22753,1.5238994359970093,0.8155408078055641,0.939260756823276,292.0469055175781,429.48834228515625,0.1344591921944358,0.010739243176723923,232.83021454796875,1.1152429068571657
Aggregate,9,22753,1.5238994359970093,0.8209906385971081,0.9439634333933987,293.7640686035156,432.0933532714844,0.12900936140289188,0.006036566606601235,178.4050806301994,0.9736345750060701
Aggregate,10,22753,1.5238994359970093,0.8222212455500374,0.9433481299169341,293.1482238769531,431.3700256347656,0.12777875444996256,0.006651870083065892,167.42372767860675,0.9894633202641513
Aggregate,11,22753,1.5238994359970093,0.8231881510130532,0.9459411945677493,295.8421630859375,435.2988586425781,0.12681184898694675,0.004058805432250678,161.00145464980127,0.9277644221401936
Aggregate,12,22753,1.5238994359970093,0.8151892058190129,0.9420735727156858,295.3343200683594,434.40142822265625,0.13481079418098707,0.007926427284314141,239.62188188271512,1.0346019074034192
Aggregate,13,22753,1.5238994359970093,0.8266602206302466,0.9455895925811981,299.02154541015625,439.8109130859375,0.12333977936975338,0.004410407418801832,136.84283835852787,0.9465341825021013
Aggregate,14,22753,1.5238994359970093,0.8132993451413001,0.937019294159012,299.864013671875,440.9775085449219,0.13670065485869987,0.012980705840987983,267.37974068470515,1.2307807177431234
Aggregate,15,22753,1.5238994359970093,0.8116731859535007,0.9412824682459456,298.6483154296875,439.22283935546875,0.13832681404649927,0.00871753175405432,288.8280503781258,1.0713166626032253
Aggregate,16,22753,1.5238994359970093,0.8025754845514878,0.9373269458972443,292.94366455078125,430.9178466796875,0.1474245154485122,0.012673054102755654,446.33426908726324,1.1906457389927565
Aggregate,17,22753,1.5238994359970093,0.7950160418406363,0.9338988265283699,288.45379638671875,424.4348449707031,0.1549839581593636,0.016101173471630092,641.235661924446,1.3159849548337317
Aggregate,18,22756,1.523919701576233,0.80435928985762,0.9357532079451574,288.935791015625,425.28326416015625,0.14564071014238,0.014246792054842583,402.68746273081706,1.2379251154302495
Aggregate,19,22758,1.5239849090576172,0.7940504437999825,0.9325072501977326,289.4169006347656,426.1782531738281,0.1559495562000175,0.017492749802267338,675.1871611612883,1.3871893126455548
Aggregate,20,22758,1.5240639448165894,0.7921170577379383,0.9330345373055628,290.3144836425781,427.8216857910156,0.15788294226206168,0.016965462694437106,745.9942156415036,1.3669681797545312
Aggregate,21,22758,1.524099349975586,0.8116266807276562,0.941866596361719,293.31756591796875,432.3759460449219,0.13837331927234375,0.008133403638280967,284.33231167089167,1.036181781489414
Aggregate,22,22758,1.524099349975586,0.8086387204499517,0.9373846559451622,293.6884460449219,432.9172058105469,0.1413612795500483,0.012615344054837774,330.52033888203846,1.1939183514630878
Aggregate,23,22758,1.524099349975586,0.8049477106951402,0.9277177256349416,292.1092834472656,430.30322265625,0.1450522893048598,0.022282274365058363,395.31532701725183,1.6680682560144497
Aggregate,24,22758,1.524099349975586,0.7945337903154934,0.9192811319096581,289.0108947753906,425.3993225097656,0.15546620968450653,0.030718868090341855,658.1473186784132,2.3005697632906945
