month,n_calibration,k
1,36946,1.0327976427883627
2,37280,1.0451434852753267
3,33325,1.1408729898066075
6,5624,1.0487615419743934
7,53718,0.972347094960963
8,51880,0.9641769448110354
9,44865,1.0178898476509823
10,42049,1.026029160490046
11,37132,1.0420091549529968
12,36656,1.0605644425626302
