month,n_calibration,k
1,36946,0.8374077205727323
2,37280,0.8671409878850687
3,33325,0.890289457876558
6,5624,0.7621603744959421
7,53718,0.6720866291604011
8,51880,0.7934185682562451
9,44865,0.8614351190197714
10,42049,0.8484685119668444
11,37132,0.8841044669872565
12,36656,0.8967392472908099
