mode,city,horizon_step,season,n_calibration,k_cell,k_applied,fell_back,direction
city_season,Ankara,all,DJF,22271,0.8649654780106888,0.8649654780106888,False,narrower
city_season,Ankara,all,MAM,6660,0.8950648386209509,0.8950648386209509,False,narrower
city_season,Ankara,all,JJA,22212,0.7124202942578285,0.7124202942578285,False,narrower
city_season,Ankara,all,SON,24895,0.8380893177382298,0.8380893177382298,False,narrower
city_season,Antalya,all,DJF,22487,0.8466816195104527,0.8466816195104527,False,narrower
city_season,Antalya,all,MAM,6660,0.7937198039773453,0.7937198039773453,False,narrower
city_season,Antalya,all,JJA,21896,0.6889719792055183,0.6889719792055183,False,narrower
city_season,Antalya,all,SON,24842,0.8123449554608442,0.8123449554608442,False,narrower
city_season,Konya,all,DJF,22391,0.8970645016369188,0.8970645016369188,False,narrower
city_season,Konya,all,MAM,6660,0.9782336665229359,0.9782336665229359,False,narrower
city_season,Konya,all,JJA,21972,0.6992916223204642,0.6992916223204642,False,narrower
city_season,Konya,all,SON,25063,0.8321748473013175,0.8321748473013175,False,narrower
city_season,Rize,all,DJF,21342,0.9832336500970967,0.9832336500970967,False,narrower
city_season,Rize,all,MAM,6685,1.0682565968078666,1.0682565968078666,False,wider
city_season,Rize,all,JJA,22670,0.8423338229704882,0.8423338229704882,False,narrower
city_season,Rize,all,SON,24596,1.0420781266584533,1.0420781266584533,False,wider
city_season,Van,all,DJF,22391,0.7764766991606944,0.7764766991606944,False,narrower
city_season,Van,all,MAM,6660,0.752168747226919,0.752168747226919,False,narrower
city_season,Van,all,JJA,22472,0.7558743413731656,0.7558743413731656,False,narrower
city_season,Van,all,SON,24650,0.8374077636000389,0.8374077636000389,False,narrower
