group,horizon_step,subset,RMSE,MAE,R2,CP,PINW,MPIW,Reliability,CWC,n_samples,n_elements,CRPS
Ankara,1,all_hours,46.049896240234375,25.822711944580078,0.9731356535201969,0.9944513645113804,0.19151552021503448,195.16006469726562,0.04445136451138043,0.19151552021503448,8831,8831,
Ankara,2,all_hours,46.604740142822266,25.79607582092285,0.9724843876518297,0.9919601404144491,0.19273875653743744,196.40658569335938,0.041960140414449176,0.19273875653743744,8831,8831,
Ankara,3,all_hours,47.130393981933594,25.147642135620117,0.9718601937359128,0.9875438795153437,0.196762353181839,200.50674438476562,0.03754387951534377,0.196762353181839,8831,8831,
Ankara,4,all_hours,50.2414665222168,25.98829460144043,0.9680225691172716,0.9839202808288982,0.20025719702243805,204.06809997558594,0.0339202808288982,0.20025719702243805,8831,8831,
Ankara,5,all_hours,54.301944732666016,27.844751358032227,0.9626449139154809,0.9823349564035783,0.2003840208053589,204.1973419189453,0.03233495640357831,0.2003840208053589,8831,8831,
Ankara,6,all_hours,57.3740348815918,29.049455642700195,0.9583001780567267,0.9810893443551126,0.20250096917152405,206.3545684814453,0.03108934435511268,0.20250096917152405,8831,8831,
Ankara,7,all_hours,60.783626556396484,30.71445083618164,0.953197961532856,0.9782584078813271,0.20188328623771667,205.72512817382812,0.028258407881327163,0.20188328623771667,8831,8831,
Ankara,8,all_hours,63.404998779296875,32.172786712646484,0.9490705013448959,0.9764466085381044,0.20132699608802795,205.1582489013672,0.026446608538104432,0.20132699608802795,8831,8831,
Ankara,9,all_hours,65.16338348388672,33.4290657043457,0.9461961338302908,0.9747480466538331,0.19937944412231445,203.17364501953125,0.024748046653833122,0.19937944412231445,8831,8831,
Ankara,10,all_hours,66.47429656982422,34.598365783691406,0.9439937488072864,0.9715773978031933,0.1981109082698822,201.88096618652344,0.021577397803193343,0.1981109082698822,8831,8831,
Ankara,11,all_hours,68.23955535888672,35.77318572998047,0.9409582194872124,0.9699920733778734,0.19664140045642853,200.3834991455078,0.019992073377873454,0.19664140045642853,8831,8831,
Ankara,12,all_hours,69.77284240722656,37.11012649536133,0.9382595806237818,0.9673876118219907,0.1950361281633377,198.74766540527344,0.017387611821990778,0.1950361281633377,8831,8831,
Ankara,13,all_hours,69.457763671875,36.47996520996094,0.9388062726481716,0.9665949496093308,0.19463595747947693,198.3398895263672,0.016594949609330834,0.19463595747947693,8831,8831,
Ankara,14,all_hours,68.16759490966797,35.072269439697266,0.9410528784120061,0.9684067489525535,0.19757476449012756,201.33462524414062,0.018406748952553564,0.19757476449012756,8831,8831,
Ankara,15,all_hours,68.42130279541016,35.33269500732422,0.940612452373635,0.9707847355905334,0.1972053200006485,200.95814514160156,0.0207847355905334,0.1972053200006485,8831,8831,
Ankara,16,all_hours,69.5455093383789,36.05110549926758,0.9386449057935745,0.969086173706262,0.19652076065540314,200.26055908203125,0.01908617370626209,0.19652076065540314,8831,8831,
Ankara,17,all_hours,70.46963500976562,36.980525970458984,0.9370024591744797,0.9688596987883592,0.1946408450603485,198.34486389160156,0.018859698788359247,0.1946408450603485,8831,8831,
Ankara,18,all_hours,71.05057525634766,37.62614822387695,0.9359587515386829,0.9673876118219907,0.1916315108537674,195.27825927734375,0.017387611821990778,0.1916315108537674,8831,8831,
