mode,city,horizon_step,season,n_calibration,k_cell,k_applied,fell_back,direction
city_season,Ankara,all,DJF,22271,1.0874444513235917,1.0874444513235917,False,wider
city_season,Ankara,all,MAM,6660,1.1164230545670946,1.1164230545670946,False,wider
city_season,Ankara,all,JJA,22212,0.9617574176941064,0.9617574176941064,False,narrower
city_season,Ankara,all,SON,24895,1.0197464427379488,1.0197464427379488,False,wider
city_season,Antalya,all,DJF,22487,0.8702851306677273,0.8702851306677273,False,narrower
city_season,Antalya,all,MAM,6660,0.9585957434201023,0.9585957434201023,False,narrower
city_season,Antalya,all,JJA,21896,0.8542397621988799,0.8542397621988799,False,narrower
city_season,Antalya,all,SON,24842,0.8905663120340163,0.8905663120340163,False,narrower
city_season,Konya,all,DJF,22391,1.0740109265897402,1.0740109265897402,False,wider
city_season,Konya,all,MAM,6660,1.1730175289553422,1.1730175289553422,False,wider
city_season,Konya,all,JJA,21972,0.9589444091359339,0.9589444091359339,False,narrower
city_season,Konya,all,SON,25063,1.0073611722806368,1.0073611722806368,False,wider
city_season,Rize,all,DJF,21342,1.1162915512465375,1.1162915512465375,False,wider
city_season,Rize,all,MAM,6685,1.2460806180416233,1.2460806180416233,False,wider
city_season,Rize,all,JJA,22670,1.1211740225341822,1.1211740225341822,False,wider
city_season,Rize,all,SON,24596,1.1794490116177696,1.1794490116177696,False,wider
city_season,Van,all,DJF,22391,0.9924658814986891,0.9924658814986891,False,narrower
city_season,Van,all,MAM,6660,1.1807867843469821,1.1807867843469821,False,wider
city_season,Van,all,JJA,22472,0.9888320117241554,0.9888320117241554,False,narrower
city_season,Van,all,SON,24650,1.0402644072892016,1.0402644072892016,False,wider
