experiment_id,geometry,mode,k_min,k_max,n_cells,CP,MPIW,CP_Ankara,CP_Antalya,CP_Konya,CP_Rize,CP_Van,worst_step_dev,CP_AprMay,max_city_deviation,reliability
abl_loss_huber_s42_b1,exchangeable,none,1.0,1.0,0,0.8001875009119694,340.2512512207031,0.8106973247520032,0.8288643965564512,0.8267985742343784,0.704036785344955,0.8289143226176808,0.1776187975846678,0.7932697785711573,0.245963214655045,0.14981249908803052
abl_loss_huber_s42_b1,exchangeable,global,1.5187592506408691,1.5187592506408691,1,0.9502611880407978,516.7598266601562,0.9558648257146525,0.9589113706567235,0.9555903106132247,0.922551336977397,0.9579506314580941,0.028333042110781137,0.9522009951004595,0.02744866302260296,0.0002611880407978884
abl_loss_huber_s42_b1,exchangeable,per_horizon,1.3698644638061523,1.5957422256469727,24,0.9503195540834343,515.49072265625,0.955534774556723,0.9590210378168924,0.9556084963992144,0.9234377308317329,0.9575739092996556,0.005204331121201555,0.9519731094990315,0.026562269168267094,0.0003195540834343147
abl_loss_huber_s42_b1,exchangeable,per_city,1.470970630645752,1.6413817405700684,5,0.9500933856682182,513.09375,0.948677044941966,0.9487306026210451,0.9503709900341892,0.952448663022603,0.9502547359357061,0.02632360650008736,0.9521060427665312,0.002448663022603048,9.338566821825989e-05
abl_loss_huber_s42_b1,exchangeable,city_horizon,1.348325252532959,1.8191494941711426,120,0.9507828345468606,512.9183349609375,0.9496488622403139,0.949205826981777,0.9508801920419,0.953353523415571,0.9508467278989667,0.005902899056933308,0.952580804436173,0.003353523415571047,0.0007828345468606779
abl_loss_huber_s42_b1,exchangeable,per_season,1.1827988624572754,1.6279469728469849,4,0.9507901303021902,484.0979309082031,0.9601371545922951,0.9611229917201294,0.9591729104531898,0.9115083468754617,0.9613949483352469,0.024838371483487776,0.9575183258004482,0.03849165312453828,0.0007901303021902173
abl_loss_huber_s42_b1,exchangeable,city_season,1.013403058052063,1.6879314184188843,20,0.9505566661316446,472.6797790527344,0.9506940242404239,0.948968214801411,0.9509165636138794,0.9521531984044911,0.9500753444316877,0.021343700856194303,0.9580880398040184,0.00215319840449113,0.0005566661316446231
abl_loss_huber_s42_b1,exchangeable,season_horizon,1.0951941013336182,1.7932955026626587,96,0.9507755387915311,483.7364807128906,0.9600638098905331,0.9607939902396228,0.9591001673092311,0.9123947407297976,0.9609285304247991,0.004331121201536892,0.9568346689961639,0.03760525927020231,0.0007755387915311385
abl_loss_huber_s42_b1,exchangeable,city_season_horizon,0.8907839059829712,2.0606014728546143,480,0.9514686355478382,474.9706726074219,0.9522892715037498,0.9503573321635503,0.9517349239834145,0.952725661102083,0.9502726750861079,0.005291652113168066,0.9581260207375897,0.0027256611020830546,0.0014686355478382707
abl_loss_huber_s42_b1,temporal,none,1.0,1.0,0,0.7234137397389315,255.5753936767578,0.73790017645576,0.7442902392264733,0.7337806203494691,0.649224556429093,0.7499058616794276,0.27163034705407585,,0.3007754435709069,0.22658626026106843
