month,n_calibration,k
1,36946,1.9448208274745409
2,37280,2.2764718855840833
3,33325,2.3520983551523305
6,5624,1.744252346556344
7,53718,1.6810362830852035
8,51880,1.6673746367164555
9,44865,1.9144185081291505
10,42049,1.9503002141455534
11,37132,2.0097282979125968
12,36656,2.0255712492642557
