month,n_calibration,k
1,36946,0.8330421442231843
2,37280,0.8712516086095484
3,33325,0.8828567282119381
6,5624,0.7828385101128903
7,53718,0.6725477172406779
8,51880,0.7977154000667757
9,44865,0.8565706732158546
10,42049,0.8453072962815852
11,37132,0.8786815856930431
12,36656,0.8938991455722227
