group,horizon_step,n_elements,k_mean,CP_before,CP_after,MPIW_before,MPIW_after,Reliability_before,Reliability_after,CWC_before,CWC_after
Aggregate,all,546130,0.8328514099121094,0.9775163422628312,0.9405031768992731,438.6064453125,359.1842346191406,0.027516342262831284,0.009496823100726859,0.4201412498950958,0.8972324946084699
Ankara,all,109644,0.8184247612953186,0.983519390025902,0.9446481339608187,438.43115234375,353.5428466796875,0.033519390025902096,0.005351866039181252,0.4306873679161072,0.8011533816897006
Antalya,all,108468,0.7708331942558289,0.9850831581664639,0.9407567208762031,459.7554016113281,349.567138671875,0.0350831581664639,0.009243279123796855,0.44998618960380554,0.8852872745767545
Konya,all,109476,0.8259033560752869,0.9823522963937301,0.9473765939566663,455.73480224609375,370.6636047363281,0.03235229639373016,0.002623406043333665,0.44108206033706665,0.7677747088062125
Rize,all,109043,0.9741389155387878,0.9540915051860275,0.9501939601808461,377.31268310546875,365.1567077636719,0.004091505186027522,0.0001939601808461644,0.38493436574935913,0.37253284454345703
Van,all,109499,0.7749789953231812,0.9825021233070622,0.9195791742390341,461.7460021972656,356.9350891113281,0.03250212330706226,0.03042082576096583,0.442994087934494,1.9097818931290176
Aggregate,1,22758,0.8328251242637634,0.9946831883293786,0.969021882414975,428.4132080078125,350.1598815917969,0.044683188329378676,0.019021882414975044,0.4103771448135376,0.3354182541370392
Aggregate,2,22758,0.8328251242637634,0.9914755250900782,0.9649354073292908,429.5560607910156,351.05194091796875,0.041475525090078236,0.014935407329290884,0.4114719033241272,0.3362727761268616
Aggregate,3,22758,0.8328251242637634,0.9872132876351173,0.9567185165656032,432.054931640625,353.1740417480469,0.03721328763511733,0.006718516565603294,0.4138655662536621,0.3383055329322815
Aggregate,4,22758,0.8328251242637634,0.9832586343263907,0.9459970120397223,434.6407775878906,355.48260498046875,0.03325863432639076,0.004002987960277649,0.416342556476593,0.7564873103889611
Aggregate,5,22758,0.8328251242637634,0.9818525353721769,0.9469197644784252,436.6382751464844,357.3464660644531,0.031852535372176916,0.00308023552157477,0.4182559549808502,0.7415994995372401
Aggregate,6,22753,0.8328329920768738,0.980046587263218,0.9466443985408518,439.1762390136719,359.5968322753906,0.030046587263218072,0.0033556014591481498,0.4206870496273041,0.751840209692238
Aggregate,7,22753,0.8328446745872498,0.9786401793170132,0.9421614732123237,439.58843994140625,360.0633239746094,0.028640179317013237,0.00783852678767627,0.42108190059661865,0.8553047739640754
Aggregate,8,22753,0.8328493237495422,0.9795191842833912,0.9411506175009888,441.0614318847656,361.3896179199219,0.029519184283391287,0.008849382499011127,0.4224928915500641,0.8850128082682518
Aggregate,9,22753,0.8328493237495422,0.9788159803102887,0.939744209554784,439.6959228515625,360.28924560546875,0.028815980310288758,0.010255790445215962,0.42118486762046814,0.9214538817029211
Aggregate,10,22753,0.8328493237495422,0.9781127763371863,0.9380301498703467,440.6845397949219,361.10455322265625,0.02811277633718634,0.011969850129653237,0.42213186621665955,0.9752276108911407
Aggregate,11,22753,0.8328493237495422,0.977321671867446,0.9380301498703467,439.6114807128906,360.2064514160156,0.02732167186744605,0.011969850129653237,0.42110398411750793,0.9728020931431384
Aggregate,12,22753,0.8328493237495422,0.9771458708741705,0.9375466971388389,439.7397766113281,360.328125,0.02714587087417053,0.012453302861161086,0.4212268888950348,0.9884954108716514
Aggregate,13,22753,0.8328493237495422,0.9770579703775326,0.9371950951522876,442.1875915527344,362.3494873046875,0.02705797037753266,0.01280490484771235,0.4235716462135315,1.005514570610459
Aggregate,14,22753,0.8328493237495422,0.9772337713708082,0.9389531050850437,444.23297119140625,364.0401611328125,0.02723377137080829,0.011046894914956251,0.42553091049194336,0.9545429971637375
Aggregate,15,22753,0.8328493237495422,0.9765745176460247,0.9380301498703467,445.476806640625,365.0639343261719,0.026574517646024698,0.011969850129653237,0.42672237753868103,0.9859205756650531
Aggregate,16,22753,0.8328493237495422,0.9765745176460247,0.9414143189909023,444.9947204589844,364.70697021484375,0.026574517646024698,0.008585681009097623,0.4262605905532837,0.886013980095082
Aggregate,17,22753,0.8328493237495422,0.9766624181426625,0.9396123588098273,444.6054992675781,364.4131774902344,0.02666241814266257,0.010387641190172658,0.4258877635002136,0.9358567115291178
Aggregate,18,22756,0.8328534960746765,0.9765336614519248,0.9399279310950958,444.2840881347656,364.1724853515625,0.026533661451924817,0.010072068904904197,0.42557987570762634,0.9260586788780989
Aggregate,19,22758,0.8328617215156555,0.9763160207399596,0.938790754899376,442.7405700683594,362.87738037109375,0.026316020739959645,0.011209245100623932,0.424101322889328,0.9564161437457912
Aggregate,20,22758,0.8328776359558105,0.9756129712628526,0.9372088935758854,440.9241027832031,361.3649597167969,0.02561297126285267,0.012791106424114518,0.4223613440990448,1.002329695742608
Aggregate,21,22758,0.8328863978385925,0.9731522980929783,0.9337375867826698,438.7055969238281,359.43707275390625,0.023152298092978363,0.01626241321733013,0.4202362298965454,1.1206896573366654
Aggregate,22,22758,0.8328863978385925,0.9700325160383162,0.9307496265049653,436.02435302734375,357.0587158203125,0.02003251603831624,0.019250373495034667,0.41766786575317383,1.2375491406872865
Aggregate,23,22758,0.8328863978385925,0.962606555936374,0.9208629932331488,432.86932373046875,354.22442626953125,0.012606555936374053,0.02913700676685116,0.4146456718444824,1.795779477375604
Aggregate,24,22758,0.8328863978385925,0.9539502592494947,0.9086914491607346,428.6570129394531,350.5274963378906,0.00395025924949477,0.04130855083926532,0.41061070561408997,2.9845522381403935
