mode,city,horizon_step,season,n_calibration,k_cell,k_applied,fell_back,direction
city_season,Ankara,all,DJF,22271,0.8633552671540967,0.8633552671540967,False,narrower
city_season,Ankara,all,MAM,6660,0.896994487736241,0.896994487736241,False,narrower
city_season,Ankara,all,JJA,22212,0.6999273810053482,0.6999273810053482,False,narrower
city_season,Ankara,all,SON,24895,0.8334657948959856,0.8334657948959856,False,narrower
city_season,Antalya,all,DJF,22487,0.8450036878221561,0.8450036878221561,False,narrower
city_season,Antalya,all,MAM,6660,0.7780186408645225,0.7780186408645225,False,narrower
city_season,Antalya,all,JJA,21896,0.6853842561218878,0.6853842561218878,False,narrower
city_season,Antalya,all,SON,24842,0.8012112077719425,0.8012112077719425,False,narrower
city_season,Konya,all,DJF,22391,0.8895275372581839,0.8895275372581839,False,narrower
city_season,Konya,all,MAM,6660,0.9190084366891265,0.9190084366891265,False,narrower
city_season,Konya,all,JJA,21972,0.6955335889551736,0.6955335889551736,False,narrower
city_season,Konya,all,SON,25063,0.8209221465035182,0.8209221465035182,False,narrower
city_season,Rize,all,DJF,21342,0.9692530128365094,0.9692530128365094,False,narrower
city_season,Rize,all,MAM,6685,1.0684330994853377,1.0684330994853377,False,wider
city_season,Rize,all,JJA,22670,0.8532825837731134,0.8532825837731134,False,narrower
city_season,Rize,all,SON,24596,1.0192058702417945,1.0192058702417945,False,wider
city_season,Van,all,DJF,22391,0.7789121964977226,0.7789121964977226,False,narrower
city_season,Van,all,MAM,6660,0.7435070004684329,0.7435070004684329,False,narrower
city_season,Van,all,JJA,22472,0.7598055231507134,0.7598055231507134,False,narrower
city_season,Van,all,SON,24650,0.8298446287812793,0.8298446287812793,False,narrower
