month,n_calibration,k
1,36946,0.8302998963160723
2,37280,0.8753322661393741
3,33325,0.879676345642648
6,5624,0.7740401600556526
7,53718,0.6749294371629799
8,51880,0.7969629824297758
9,44865,0.8617146235689296
10,42049,0.8381281135882926
11,37132,0.8678698195617611
12,36656,0.8814866273285505
