mode,city,season,horizon_step,n_calibration,k_cell,k_applied,fell_back,direction
city_season_horizon,Ankara,DJF,1,927,1.1584552692428898,1.1584552692428898,False,wider
city_season_horizon,Ankara,DJF,2,927,1.0283075328479019,1.0283075328479019,False,wider
city_season_horizon,Ankara,DJF,3,927,1.0726581673276177,1.0726581673276177,False,wider
city_season_horizon,Ankara,DJF,4,927,1.1207148193094962,1.1207148193094962,False,wider
city_season_horizon,Ankara,DJF,5,927,1.108548855704398,1.108548855704398,False,wider
city_season_horizon,Ankara,DJF,6,927,1.0681343734090765,1.0681343734090765,False,wider
city_season_horizon,Ankara,DJF,7,927,1.089313535363826,1.089313535363826,False,wider
city_season_horizon,Ankara,DJF,8,928,1.0525356989935466,1.0525356989935466,False,wider
city_season_horizon,Ankara,DJF,9,928,1.0858071139561567,1.0858071139561567,False,wider
city_season_horizon,Ankara,DJF,10,928,1.1371640368196814,1.1371640368196814,False,wider
city_season_horizon,Ankara,DJF,11,928,1.1621810644400503,1.1621810644400503,False,wider
city_season_horizon,Ankara,DJF,12,928,1.0923192698547102,1.0923192698547102,False,wider
city_season_horizon,Ankara,DJF,13,928,1.0898097878967472,1.0898097878967472,False,wider
city_season_horizon,Ankara,DJF,14,928,1.132144144585209,1.132144144585209,False,wider
city_season_horizon,Ankara,DJF,15,928,1.0698438082943131,1.0698438082943131,False,wider
city_season_horizon,Ankara,DJF,16,928,1.0943873015906862,1.0943873015906862,False,wider
city_season_horizon,Ankara,DJF,17,928,1.0466797778138115,1.0466797778138115,False,wider
city_season_horizon,Ankara,DJF,18,928,1.1294861835344534,1.1294861835344534,False,wider
city_season_horizon,Ankara,DJF,19,929,1.1163511162918258,1.1163511162918258,False,wider
city_season_horizon,Ankara,DJF,20,929,1.095117440897149,1.095117440897149,False,wider
city_season_horizon,Ankara,DJF,21,929,1.1890218944847264,1.1890218944847264,False,wider
city_season_horizon,Ankara,DJF,22,929,1.1040346195845256,1.1040346195845256,False,wider
city_season_horizon,Ankara,DJF,23,929,1.1504745697425593,1.1504745697425593,False,wider
city_season_horizon,Ankara,DJF,24,929,1.0862720121768463,1.0862720121768463,False,wider
city_season_horizon,Ankara,MAM,1,276,1.1688352335998686,1.1688352335998686,False,wider
city_season_horizon,Ankara,MAM,2,276,1.0023455087331958,1.0023455087331958,False,wider
city_season_horizon,Ankara,MAM,3,276,1.0748466733115172,1.0748466733115172,False,wider
city_season_horizon,Ankara,MAM,4,276,1.122654134648358,1.122654134648358,False,wider
city_season_horizon,Ankara,MAM,5,277,1.123682702422047,1.123682702422047,False,wider
city_season_horizon,Ankara,MAM,6,278,1.0888014119191047,1.0888014119191047,False,wider
city_season_horizon,Ankara,MAM,7,279,1.0868849740087567,1.0868849740087567,False,wider
city_season_horizon,Ankara,MAM,8,279,1.0218288664284159,1.0218288664284159,False,wider
city_season_horizon,Ankara,MAM,9,279,1.1146594588107583,1.1146594588107583,False,wider
city_season_horizon,Ankara,MAM,10,279,1.1035918872290393,1.1035918872290393,False,wider
city_season_horizon,Ankara,MAM,11,279,1.2285844155931653,1.2285844155931653,False,wider
city_season_horizon,Ankara,MAM,12,279,1.1678281453950135,1.1678281453950135,False,wider
city_season_horizon,Ankara,MAM,13,279,1.2080724407853467,1.2080724407853467,False,wider
city_season_horizon,Ankara,MAM,14,279,1.178103562873876,1.178103562873876,False,wider
city_season_horizon,Ankara,MAM,15,279,1.1489813845117582,1.1489813845117582,False,wider
city_season_horizon,Ankara,MAM,16,279,1.175412506851008,1.175412506851008,False,wider
city_season_horizon,Ankara,MAM,17,278,1.1258468249304812,1.1258468249304812,False,wider
city_season_horizon,Ankara,MAM,18,277,1.224390976827411,1.224390976827411,False,wider
city_season_horizon,Ankara,MAM,19,276,1.2468325259159243,1.2468325259159243,False,wider
city_season_horizon,Ankara,MAM,20,276,1.1361914469200032,1.1361914469200032,False,wider
city_season_horizon,Ankara,MAM,21,276,1.224292214024297,1.224292214024297,False,wider
city_season_horizon,Ankara,MAM,22,276,1.1728120061733043,1.1728120061733043,False,wider
city_season_horizon,Ankara,MAM,23,276,1.2699984019808468,1.2699984019808468,False,wider
city_season_horizon,Ankara,MAM,24,276,1.0778217180746943,1.0778217180746943,False,wider
city_season_horizon,Ankara,JJA,1,924,1.0195758679849307,1.0195758679849307,False,wider
city_season_horizon,Ankara,JJA,2,924,0.850683942116976,0.850683942116976,False,narrower
city_season_horizon,Ankara,JJA,3,924,0.9761823911229532,0.9761823911229532,False,narrower
city_season_horizon,Ankara,JJA,4,924,0.9702154059619283,0.9702154059619283,False,narrower
city_season_horizon,Ankara,JJA,5,924,1.0010498787347129,1.0010498787347129,False,wider
city_season_horizon,Ankara,JJA,6,924,0.9575064064087437,0.9575064064087437,False,narrower
city_season_horizon,Ankara,JJA,7,925,0.9517467758398851,0.9517467758398851,False,narrower
city_season_horizon,Ankara,JJA,8,926,0.9452625523096133,0.9452625523096133,False,narrower
city_season_horizon,Ankara,JJA,9,927,1.0433330856250906,1.0433330856250906,False,wider
city_season_horizon,Ankara,JJA,10,927,1.0171325669995592,1.0171325669995592,False,wider
city_season_horizon,Ankara,JJA,11,927,0.9936177506796796,0.9936177506796796,False,narrower
city_season_horizon,Ankara,JJA,12,927,0.9678723862038598,0.9678723862038598,False,narrower
city_season_horizon,Ankara,JJA,13,927,1.041097334198112,1.041097334198112,False,wider
city_season_horizon,Ankara,JJA,14,927,1.0225206535389662,1.0225206535389662,False,wider
city_season_horizon,Ankara,JJA,15,927,1.0047321730667749,1.0047321730667749,False,wider
city_season_horizon,Ankara,JJA,16,927,1.0165541773540552,1.0165541773540552,False,wider
city_season_horizon,Ankara,JJA,17,927,0.9808483513754122,0.9808483513754122,False,narrower
city_season_horizon,Ankara,JJA,18,927,1.014706858514626,1.014706858514626,False,wider
city_season_horizon,Ankara,JJA,19,927,0.9905199939534987,0.9905199939534987,False,narrower
city_season_horizon,Ankara,JJA,20,926,0.9377976437325477,0.9377976437325477,False,narrower
city_season_horizon,Ankara,JJA,21,925,0.9913278179199912,0.9913278179199912,False,narrower
city_season_horizon,Ankara,JJA,22,924,0.9633141067630064,0.9633141067630064,False,narrower
city_season_horizon,Ankara,JJA,23,923,0.9760386285861041,0.9760386285861041,False,narrower
city_season_horizon,Ankara,JJA,24,922,0.8194011897441151,0.8194011897441151,False,narrower
city_season_horizon,Ankara,SON,1,1039,1.0490901515490985,1.0490901515490985,False,wider
city_season_horizon,Ankara,SON,2,1039,0.933566723834003,0.933566723834003,False,narrower
city_season_horizon,Ankara,SON,3,1039,0.9954672048374259,0.9954672048374259,False,narrower
city_season_horizon,Ankara,SON,4,1039,1.0353209665141088,1.0353209665141088,False,wider
city_season_horizon,Ankara,SON,5,1039,1.0396399728746686,1.0396399728746686,False,wider
city_season_horizon,Ankara,SON,6,1039,0.970424984718159,0.970424984718159,False,narrower
city_season_horizon,Ankara,SON,7,1038,1.0191459273395334,1.0191459273395334,False,wider
city_season_horizon,Ankara,SON,8,1037,0.959432322434586,0.959432322434586,False,narrower
city_season_horizon,Ankara,SON,9,1037,1.0337799503471226,1.0337799503471226,False,wider
city_season_horizon,Ankara,SON,10,1037,1.0176847801503726,1.0176847801503726,False,wider
city_season_horizon,Ankara,SON,11,1037,1.0130933088148764,1.0130933088148764,False,wider
city_season_horizon,Ankara,SON,12,1037,1.0340241583522085,1.0340241583522085,False,wider
city_season_horizon,Ankara,SON,13,1037,1.076901374026504,1.076901374026504,False,wider
city_season_horizon,Ankara,SON,14,1037,1.0726994293121501,1.0726994293121501,False,wider
city_season_horizon,Ankara,SON,15,1037,1.0314853822222008,1.0314853822222008,False,wider
city_season_horizon,Ankara,SON,16,1037,1.0378631576196378,1.0378631576196378,False,wider
city_season_horizon,Ankara,SON,17,1037,1.0199591620494028,1.0199591620494028,False,wider
city_season_horizon,Ankara,SON,18,1037,1.0680026384040144,1.0680026384040144,False,wider
city_season_horizon,Ankara,SON,19,1036,1.0730446513056293,1.0730446513056293,False,wider
city_season_horizon,Ankara,SON,20,1036,1.0149047613503568,1.0149047613503568,False,wider
city_season_horizon,Ankara,SON,21,1036,1.1200758669122979,1.1200758669122979,False,wider
city_season_horizon,Ankara,SON,22,1036,1.0539607006217389,1.0539607006217389,False,wider
city_season_horizon,Ankara,SON,23,1036,1.0636475978874456,1.0636475978874456,False,wider
city_season_horizon,Ankara,SON,24,1036,0.9369876071069004,0.9369876071069004,False,narrower
city_season_horizon,Antalya,DJF,1,936,0.9029876582335021,0.9029876582335021,False,narrower
city_season_horizon,Antalya,DJF,2,936,0.8385209452776337,0.8385209452776337,False,narrower
city_season_horizon,Antalya,DJF,3,936,0.8001865835971086,0.8001865835971086,False,narrower
city_season_horizon,Antalya,DJF,4,936,0.8584454820104367,0.8584454820104367,False,narrower
city_season_horizon,Antalya,DJF,5,936,0.8771508875154594,0.8771508875154594,False,narrower
city_season_horizon,Antalya,DJF,6,936,0.854570663030061,0.854570663030061,False,narrower
city_season_horizon,Antalya,DJF,7,936,0.8806654430730585,0.8806654430730585,False,narrower
city_season_horizon,Antalya,DJF,8,937,0.8446816312730031,0.8446816312730031,False,narrower
city_season_horizon,Antalya,DJF,9,937,0.85280445840125,0.85280445840125,False,narrower
city_season_horizon,Antalya,DJF,10,937,0.9043957195235424,0.9043957195235424,False,narrower
city_season_horizon,Antalya,DJF,11,937,0.9115204395227767,0.9115204395227767,False,narrower
city_season_horizon,Antalya,DJF,12,937,0.8601598533148568,0.8601598533148568,False,narrower
city_season_horizon,Antalya,DJF,13,937,0.8752703790772395,0.8752703790772395,False,narrower
city_season_horizon,Antalya,DJF,14,937,0.8844814059979594,0.8844814059979594,False,narrower
city_season_horizon,Antalya,DJF,15,937,0.8907364331627063,0.8907364331627063,False,narrower
city_season_horizon,Antalya,DJF,16,937,0.8772646524389606,0.8772646524389606,False,narrower
city_season_horizon,Antalya,DJF,17,937,0.8726759631423164,0.8726759631423164,False,narrower
city_season_horizon,Antalya,DJF,18,937,0.8964677795556657,0.8964677795556657,False,narrower
city_season_horizon,Antalya,DJF,19,938,0.9119801840983669,0.9119801840983669,False,narrower
city_season_horizon,Antalya,DJF,20,938,0.871836942055736,0.871836942055736,False,narrower
city_season_horizon,Antalya,DJF,21,938,0.9404989358913702,0.9404989358913702,False,narrower
city_season_horizon,Antalya,DJF,22,938,0.9219644846892472,0.9219644846892472,False,narrower
