month,n_calibration,k
1,36946,1.0383524262862567
2,37280,1.0446934195660826
3,33325,1.182930990625446
6,5624,1.0451919327467996
7,53718,0.983577228900387
8,51880,0.9854382181134198
9,44865,1.044848983475191
10,42049,1.0354597469783546
11,37132,1.0364437262694262
12,36656,1.0611014374689467
