month,n_calibration,k
1,36946,1.5808246030863065
2,37280,1.7156405429976824
3,33325,1.7474142471972
6,5624,1.1943515976721204
7,53718,1.216747245663385
8,51880,1.287234390890951
9,44865,1.4805724315662279
10,42049,1.4437486940497573
11,37132,1.6316301063788805
12,36656,1.6972144848642698
