month,n_calibration,k
1,36946,0.8254468137022869
2,37280,0.8720429220561635
3,33325,0.8832517394071724
6,5624,0.769716042676945
7,53718,0.6711944778575956
8,51880,0.7985725334045506
9,44865,0.8675751965277567
10,42049,0.8438392090031333
11,37132,0.8777719153694692
12,36656,0.8908226671125371
