mode,city,horizon_step,season,n_calibration,k_cell,k_applied,fell_back,direction
city_season,Ankara,all,DJF,22271,2.084997601246003,2.084997601246003,False,wider
city_season,Ankara,all,MAM,6660,2.019773463250457,2.019773463250457,False,wider
city_season,Ankara,all,JJA,22212,1.52240144844843,1.52240144844843,False,wider
city_season,Ankara,all,SON,24895,1.8402032131333264,1.8402032131333264,False,wider
city_season,Antalya,all,DJF,22487,1.8490620634380486,1.8490620634380486,False,wider
city_season,Antalya,all,MAM,6660,2.0642009361286258,2.0642009361286258,False,wider
city_season,Antalya,all,JJA,21896,1.374755891607239,1.374755891607239,False,wider
city_season,Antalya,all,SON,24842,1.6783238897711523,1.6783238897711523,False,wider
city_season,Konya,all,DJF,22391,2.173307124731164,2.173307124731164,False,wider
city_season,Konya,all,MAM,6660,2.3318108706118212,2.3318108706118212,False,wider
city_season,Konya,all,JJA,21972,1.485612975693655,1.485612975693655,False,wider
city_season,Konya,all,SON,25063,1.8329600848298693,1.8329600848298693,False,wider
city_season,Rize,all,DJF,21342,2.3127082153253875,2.3127082153253875,False,wider
city_season,Rize,all,MAM,6685,2.9482713418903734,2.9482713418903734,False,wider
city_season,Rize,all,JJA,22670,2.2608965820636038,2.2608965820636038,False,wider
city_season,Rize,all,SON,24596,2.3975538608615072,2.3975538608615072,False,wider
city_season,Van,all,DJF,22391,1.9772356287236592,1.9772356287236592,False,wider
city_season,Van,all,MAM,6660,2.397334951470643,2.397334951470643,False,wider
city_season,Van,all,JJA,22472,1.5868363440995856,1.5868363440995856,False,wider
city_season,Van,all,SON,24650,1.9569083740642403,1.9569083740642403,False,wider
