group,horizon_step,subset,RMSE,MAE,R2,CP,PINW,MPIW,Reliability,CWC,n_samples,n_elements,CRPS
Ankara,1,all_hours,48.920494079589844,29.103071212768555,0.9696819939969554,0.9621786887102254,0.17513680458068848,178.46966552734375,0.012178688710225427,0.17513680458068848,8831,8831,
Ankara,2,all_hours,49.954872131347656,29.464885711669922,0.9683863469692192,0.9551579662552372,0.17562738060951233,178.96957397460938,0.005157966255237234,0.17562738060951233,8831,8831,
Ankara,3,all_hours,53.62080764770508,31.133577346801758,0.9635761663420246,0.9415694711810667,0.17493519186973572,178.26422119140625,0.008430528818933247,0.44158654567141675,8831,8831,
Ankara,4,all_hours,58.09417724609375,33.31787109375,0.9572452639529684,0.9312648624164874,0.17458097636699677,177.90325927734375,0.01873513758351253,0.6200579509464755,8831,8831,
Ankara,5,all_hours,62.11026382446289,35.17931365966797,0.9511296159232686,0.9253765145510134,0.17381694912910461,177.12469482421875,0.024623485448986515,0.7691833414296566,8831,8831,
Ankara,6,all_hours,64.63220977783203,35.98102951049805,0.9470822505602258,0.9284339259427018,0.17336918413639069,176.6684112548828,0.021566074057298157,0.6830206215182016,8831,8831,
Ankara,7,all_hours,66.15404510498047,36.17677688598633,0.9445624016088904,0.9266221265994791,0.17406049370765686,177.37286376953125,0.023377873400520888,0.734262012400505,8831,8831,
Ankara,8,all_hours,67.09911346435547,36.27175521850586,0.9429630952976794,0.9244706148794021,0.17543967068195343,178.77828979492188,0.02552938512059788,0.8042090123517696,8831,8831,
Ankara,9,all_hours,68.74624633789062,37.3946533203125,0.9401168967144027,0.9143924810327256,0.17642812430858612,179.78555297851562,0.03560751896727432,1.2230149583160397,8831,8831,
Ankara,10,all_hours,70.12000274658203,38.37611770629883,0.9376821066491364,0.9130336315253086,0.17758490145206451,180.96434020996094,0.03696636847469137,1.3050952349866274,8831,8831,
Ankara,11,all_hours,70.40986633300781,38.42711639404297,0.9371429386577893,0.9167704676707055,0.17799057066440582,181.3777313232422,0.03322953232929449,1.1154816023138119,8831,8831,
Ankara,12,all_hours,70.68461608886719,38.446685791015625,0.9366354193994879,0.9157513305401427,0.1766868233680725,180.04917907714844,0.03424866945985727,1.1559616049277666,8831,8831,
Ankara,13,all_hours,71.37642669677734,38.8580322265625,0.9353788157000645,0.916657230211754,0.17570210993289948,179.0457305908203,0.03334276978824591,1.106394200939429,8831,8831,
Ankara,14,all_hours,72.14298248291016,39.46516418457031,0.9339770691240417,0.9113350696410373,0.17514833807945251,178.48141479492188,0.03866493035896268,1.3857585017546472,8831,8831,
