group,horizon_step,n_elements,k_mean,CP_before,CP_after,MPIW_before,MPIW_after,Reliability_before,Reliability_after,CWC_before,CWC_after
Aggregate,all,546130,1.0550386905670166,0.9270942815813085,0.9414168787651291,399.7893981933594,420.6380615234375,0.02290571841869149,0.008583121234870816,1.5867267744536562,1.0218129687691255
Ankara,all,109644,1.064335584640503,0.9198132136733428,0.9369960964576265,401.9977111816406,425.1352233886719,0.030186786326657167,0.013003903542373463,2.181311148911016,1.2177626572482634
Antalya,all,108468,0.9153074026107788,0.9658424604491648,0.9401390271785227,411.9971923828125,377.56256103515625,0.01584246044916482,0.009860972821477243,0.4032427966594696,0.9745875235686283
Konya,all,109476,1.0706121921539307,0.9170868500858635,0.9388359092403814,419.9389953613281,448.49761962890625,0.03291314991413641,0.01116409075961855,2.513577083858791,1.1926420126874708
Rize,all,109043,1.164259433746338,0.9096594921269591,0.9486166007905138,347.0703430175781,406.297119140625,0.04034050787304089,0.001383399209486158,3.0153319855744214,0.8586946827755358
Van,all,109499,1.0598082542419434,0.9233691631887049,0.9425200230139088,417.83935546875,445.23248291015625,0.026630836811295078,0.0074799769860911525,1.9189181892994176,1.0480306313608654
Aggregate,1,22758,1.0777246952056885,0.9240706564724492,0.9448106160471044,381.9029846191406,413.2281494140625,0.02592934352755072,0.005189383952895588,1.7034116268248116,0.9089245741293869
Aggregate,2,22758,0.9325923919677734,0.9661657439142279,0.9450742596010194,393.6117858886719,365.9987487792969,0.01616574391422798,0.004925740398980527,0.3770408630371094,0.799088836733819
Aggregate,3,22758,1.0554614067077637,0.9279374285965375,0.9425696458388259,388.0869445800781,408.9731140136719,0.02206257140346246,0.007430354161174102,1.492042540514566,0.9597749107994068
Aggregate,4,22758,1.0115247964859009,0.9388346954916952,0.9405483785921435,386.2986755371094,391.298828125,0.011165304508304774,0.009451621407856492,1.0167239678965316,0.9760934372167759
Aggregate,5,22758,1.0087732076644897,0.9387028737147377,0.9398013885227173,396.4746398925781,398.94317626953125,0.011297126285262249,0.010198611477282626,1.0478958580131639,1.0184909568127964
Aggregate,6,22753,1.0368859767913818,0.9309102096426844,0.9385575528501736,394.2389221191406,408.1849060058594,0.019089790357315506,0.01144244714982634,1.358506833232022,1.0838626037043262
Aggregate,7,22753,1.0108065605163574,0.9381180503669846,0.9398760602997407,404.8782958984375,408.0028076171875,0.011881949633015365,0.010123939700259266,1.0903520734766174,1.0391946905852054
Aggregate,8,22753,1.0347528457641602,0.9332835230519052,0.939260756823276,394.7093505859375,406.2841491699219,0.01671647694809475,0.010739243176723923,1.2502427341941396,1.0549890553127381
Aggregate,9,22753,1.0306576490402222,0.9340306772733266,0.939260756823276,403.2583312988281,413.7106018066406,0.015969322726673396,0.010739243176723923,1.2446484555718156,1.0742731961817822
Aggregate,10,22753,1.118950605392456,0.9081000307651739,0.9423812244539181,398.2352294921875,445.2792053222656,0.041899969234826084,0.007618775546081813,3.4810741597533466,1.050831688705117
Aggregate,11,22753,1.0962334871292114,0.9139014635432691,0.9389091548367249,396.6315612792969,434.83795166015625,0.03609853645673089,0.011090845163275076,2.689749344633203,1.1417725057467076
Aggregate,12,22753,1.0336933135986328,0.9318771151057004,0.9381620006153035,409.9160461425781,421.9122619628906,0.018122884894299585,0.01183799938469643,1.364395580656211,1.1346181591133713
Aggregate,13,22753,1.0890414714813232,0.9119676526172373,0.9400518612930163,401.0225524902344,436.6298828125,0.03803234738276262,0.009948138706983634,2.9566139035666055,1.106036337081516
Aggregate,14,22753,1.0336672067642212,0.9297235529380741,0.9381180503669846,400.62554931640625,412.7591857910156,0.020276447061925884,0.011881949633015365,1.4414445388264685,1.1115755983008864
Aggregate,15,22753,1.0774198770523071,0.9157913242209819,0.9423372742055992,407.3635559082031,439.49334716796875,0.034208675779018094,0.007662725794400749,2.5486262957426042,1.0385329770583198
Aggregate,16,22753,1.0494351387023926,0.9262514833208808,0.9407990155144377,406.2849426269531,425.97894287109375,0.023748516679119147,0.00920098448556228,1.6651595151744967,1.0544512726143787
Aggregate,17,22753,1.0664094686508179,0.9241858216498923,0.9423812244539181,411.13299560546875,437.836669921875,0.025814178350107686,0.007618775546081813,1.8255191105961173,1.0332677235558982
Aggregate,18,22756,1.0650112628936768,0.9248549833011074,0.9415978203550712,408.2776794433594,432.86474609375,0.025145016698892575,0.008402179644928731,1.7660587942924217,1.0457781739970962
Aggregate,19,22758,1.115788221359253,0.9113278846998858,0.9424378240618684,408.97802734375,456.2725524902344,0.03867211530011416,0.007562175938131577,3.1005457683731192,1.0749675043036704
Aggregate,20,22758,1.0248456001281738,0.9398892697073556,0.9432726953159328,403.9636535644531,411.4443359375,0.01011073029264431,0.006727304684067126,1.0284830563176404,0.9458353466342058
Aggregate,21,22758,1.1255345344543457,0.9078565779066702,0.9431408735389754,398.7191467285156,448.72589111328125,0.042143422093329774,0.0068591264610246006,3.523311290460429,1.0355177900152188
Aggregate,22,22758,1.0594849586486816,0.9283328939274101,0.9415590122154847,397.4482727050781,417.0852355957031,0.021667106072589815,0.008440987784515297,1.5055698008190068,1.008836874288541
Aggregate,23,22758,1.102569580078125,0.9170401617013797,0.9465682397398717,399.9834899902344,437.0404357910156,0.03295983829862026,0.003431760260128258,2.3741668995785643,0.9156472269068815
Aggregate,24,22758,1.0636663436889648,0.9271025573424729,0.9425257052465067,402.9100036621094,422.5389709472656,0.022897442657527023,0.00747429475349326,1.598610291966828,0.9929019194258775
