month,n_calibration,k
1,36946,1.0446810662686892
2,37280,1.0550901358629416
3,33325,1.155242375688195
6,5624,1.059668830892283
7,53718,0.9928622051375128
8,51880,0.9894568006578988
9,44865,1.0283187601621122
10,42049,1.0315841997137847
11,37132,1.0244845527131652
12,36656,1.0250086670813503
