group,RMSE,MAE,CP,PINW,MPIW,Reliability,CWC,CRPS,n_samples
Aggregate,76.95339920550691,55.21874752045648,0.6766331705840052,0.16583018269515098,173.2510814676992,0.27336682941599477,143136.15931919453,40.72523384476231,44035
Ankara,75.34730613955898,54.93973103767792,0.6707969039778964,0.16863395683139673,171.84306386590757,0.2792030960221036,194878.3540371349,40.11599861791246,8807
Antalya,72.06855451273117,51.70792200221454,0.7318988683244388,0.1778758163199569,182.11459437854336,0.2181011316755611,9685.694823042153,38.403501526786854,8807
Konya,74.68758670540157,53.93701628479185,0.704766095151584,0.1734170017494321,179.4813896152283,0.245233904848416,36667.41634801365,39.78162557868777,8807
Rize,85.8838876561718,61.50005548411609,0.5606808977707127,0.15426070279495088,151.3297504862972,0.38931910222928723,43874501.69932334,45.36421668374032,8807
Van,76.05101832028818,54.00901279348193,0.7150230876953938,0.17371295619625896,181.4866089925194,0.23497691230460616,21993.505728883116,39.96082681668418,8807
