month,n_calibration,k
1,36946,0.8286564938822705
2,37280,0.8646138828022355
3,33325,0.8802603608608327
6,5624,0.7747057730770124
7,53718,0.6779394827199513
8,51880,0.7933973184321146
9,44865,0.8644853830143232
10,42049,0.8479101586900755
11,37132,0.8787286423828258
12,36656,0.888648839010096
