group,horizon_step,n_elements,k_mean,CP_before,CP_after,MPIW_before,MPIW_after,Reliability_before,Reliability_after,CWC_before,CWC_after
Aggregate,all,546130,0.8415577411651611,0.9765879918700676,0.9408858696647319,437.37091064453125,362.096923828125,0.026587991870067662,0.00911413033526809,0.41895774006843567,0.8939392105602767
Ankara,all,109644,0.8225857615470886,0.9834281857648389,0.9451862391010908,438.7370300292969,356.03253173828125,0.03342818576483897,0.00481376089890917,0.4309878647327423,0.794662033857474
Antalya,all,108468,0.780587911605835,0.9844931223955452,0.9415588007522956,457.1659851074219,352.88299560546875,0.03449312239554525,0.008441199247704367,0.44745180010795593,0.8721308634481163
Konya,all,109476,0.8433249592781067,0.9806898315612554,0.944736745953451,455.90679931640625,378.82318115234375,0.030689831561255487,0.005263254046548926,0.4412485361099243,0.843660328502667
Rize,all,109043,0.9799491167068481,0.9519272213713856,0.950083911851288,374.3756103515625,363.7192687988281,0.001927221371385679,8.391185128808765e-05,0.38193798065185547,0.3710663914680481
Van,all,109499,0.7813684940338135,0.9823651357546644,0.9229034055105526,460.5951843261719,358.9583435058594,0.03236513575466449,0.027096594489447345,0.44189000129699707,1.6792352168499054
Aggregate,1,22758,0.7662526369094849,0.9945953071447403,0.9444151507162316,427.823974609375,324.03997802734375,0.04459530714474036,0.005584849283768345,0.40981271862983704,0.720783876525465
Aggregate,2,22758,0.7588421702384949,0.9917831092363125,0.9395816855611213,431.6153564453125,323.59197998046875,0.041783109236312566,0.01041831443887864,0.41344448924064636,0.831822704554373
Aggregate,3,22758,0.7820984125137329,0.9873451094120749,0.9414271904385271,434.53424072265625,335.7754821777344,0.03734510941207492,0.008572809561472883,0.41624048352241516,0.8154103614256922
Aggregate,4,22758,0.7969653010368347,0.9840056243958168,0.9399332102996748,436.4950256347656,343.2403869628906,0.03400562439581689,0.010066789700325152,0.4181187152862549,0.8726865530888032
Aggregate,5,22758,0.81510329246521,0.9811494858950699,0.9378680024606731,438.0846252441406,351.7354431152344,0.03114948589506994,0.012131997539326811,0.4196414053440094,0.9549146510094378
Aggregate,6,22753,0.8351529240608215,0.9788599305586076,0.9404034632795675,438.4649353027344,360.2669982910156,0.028859930558607694,0.00959653672043248,0.4200057089328766,0.9027103602514919
Aggregate,7,22753,0.8266570568084717,0.9785083285720564,0.9401397617896541,437.23712158203125,355.6799011230469,0.02850832857205643,0.009860238210345873,0.4188295900821686,0.8985232387426896
Aggregate,8,22753,0.8253722786903381,0.978684129565332,0.9386454533468114,436.9786071777344,354.5009765625,0.02868412956533206,0.01135454665318858,0.4185819625854492,0.9386756175873943
Aggregate,9,22753,0.8427416086196899,0.9774974728607216,0.9429525776820639,438.1027526855469,362.89019775390625,0.027497472860721683,0.007047422317936092,0.4196587800979614,0.842069504809139
Aggregate,10,22753,0.8491107225418091,0.9774535226124028,0.9428207269371072,439.5908203125,367.2309875488281,0.02745352261240286,0.007179273062892788,0.4210841953754425,0.8554516578146578
Aggregate,11,22753,0.8351455330848694,0.9769700698808949,0.941546169735859,440.4688720703125,361.3091125488281,0.026970069880894898,0.008453830264140927,0.42192527651786804,0.8742658246402996
Aggregate,12,22753,0.8496290445327759,0.9766624181426625,0.9423812244539181,437.6483154296875,365.9411926269531,0.02666241814266257,0.007618775546081813,0.41922345757484436,0.8635988084492274
Aggregate,13,22753,0.8516024947166443,0.9762229156594735,0.9395684085615084,439.8132019042969,368.5934143066406,0.026222915659473545,0.010431591438491594,0.42129722237586975,0.9478977268594684
Aggregate,14,22753,0.8556526303291321,0.9751681096998198,0.9401397617896541,441.4467468261719,372.334228515625,0.025168109699819863,0.009860238210345873,0.4228619933128357,0.9405956118822055
Aggregate,15,22753,0.8458786606788635,0.975080209203182,0.941546169735859,443.4095764160156,368.7485046386719,0.02508020920318199,0.008453830264140927,0.424742192029953,0.8922670133520095
Aggregate,16,22753,0.8449673056602478,0.9745967564716741,0.94110666725267,442.7468566894531,367.7083740234375,0.02459675647167414,0.008893332747329952,0.4241073727607727,0.9016931028166384
Aggregate,17,22753,0.8547284603118896,0.9744209554783985,0.942908627433745,442.8022766113281,372.3045654296875,0.02442095547839851,0.0070913725662549165,0.4241604506969452,0.8650310345400559
Aggregate,18,22756,0.8576526641845703,0.9742485498330111,0.9434434874318861,441.1575012207031,372.3102111816406,0.024248549833011168,0.006556512568113848,0.4225849211215973,0.851628026546403
Aggregate,19,22758,0.8573946952819824,0.9742947534932771,0.9422181211002725,440.759033203125,371.8033142089844,0.024294753493277144,0.007781878899727479,0.4222032129764557,0.8817015739013583
Aggregate,20,22758,0.8541917204856873,0.9740750505316812,0.9406802003691009,441.7281494140625,371.1042175292969,0.02407505053168124,0.009319799630899017,0.42313152551651,0.9219719446335058
Aggregate,21,22758,0.8562906384468079,0.9723174268389138,0.9391422796379295,439.1715393066406,370.2628479003906,0.0223174268389138,0.010857720362070444,0.42068254947662354,0.9650585159075256
Aggregate,22,22758,0.8723702430725098,0.9691097635996133,0.9390983390456104,434.7531433105469,372.406982421875,0.01910976359961336,0.010901660954389603,0.416450172662735,0.9719972707625586
Aggregate,23,22758,0.9045296311378479,0.9620792688285438,0.938790754899376,428.3642578125,380.0942077636719,0.012079268828543821,0.011209245100623932,0.41033026576042175,1.0017936091866697
Aggregate,24,22758,0.9590606093406677,0.9529835662184726,0.9405044379998242,423.7117614746094,396.4612731933594,0.002983566218472622,0.009495562000175761,0.4058736264705658,0.9903110961258063
