city,ym_label,n,mean,std,min,q25,median,q75,max
Ankara,Jun 25,30,8.053055555555556,1.0613879876881427,4.411111111111111,7.9,8.398611111111112,8.677777777777777,8.952777777777778
Ankara,Jul 25,31,7.804569892473118,0.6108730800683645,5.9944444444444445,7.502777777777777,7.944444444444445,8.223611111111111,8.769444444444444
Ankara,Aug 25,31,7.007795698924731,0.43082394224955983,6.127777777777777,6.684722222222222,6.9944444444444445,7.345833333333333,7.805555555555555
Ankara,Sep 25,30,5.480740740740741,0.9210015733497263,2.9916666666666667,4.947222222222222,5.818055555555555,6.106944444444444,6.558333333333333
Ankara,Oct 25,31,3.83163082437276,0.7559975141962183,2.425,3.2375,3.9555555555555557,4.240277777777777,5.116666666666667
Ankara,Nov 25,30,2.6857407407407408,0.6002743152785107,1.1444444444444444,2.245138888888889,2.7652777777777775,3.113194444444444,3.6916666666666664
Ankara,Dec 25,31,1.8230286738351253,0.5999992256289529,0.8361111111111111,1.4027777777777777,1.8972222222222221,2.3194444444444438,2.7944444444444443
Ankara,Jan 26,31,1.7932795698924733,0.6411260245206624,0.5361111111111111,1.3805555555555555,1.8305555555555555,2.2125000000000004,3.102777777777778
Ankara,Feb 26,28,2.582738095238095,0.9725032977420415,0.9611111111111111,1.7722222222222221,2.5041666666666664,3.4125,4.3805555555555555
Ankara,Mar 26,31,4.144713261648746,1.3342389584208896,1.4527777777777777,2.9930555555555554,3.95,5.456944444444445,6.0055555555555555
Ankara,Apr 26,30,5.6218518518518525,1.7204132034914859,1.2638888888888888,4.514583333333333,6.129166666666666,6.850694444444444,7.911111111111111
Ankara,May 26,30,5.60287037037037,1.778771795161509,2.3694444444444445,4.5784722222222225,5.699999999999999,6.637499999999999,8.722222222222223
Antalya,Jun 25,30,7.923518518518518,0.6175112150820364,5.997222222222222,7.699999999999999,8.036111111111111,8.331944444444444,8.73611111111111
Antalya,Jul 25,31,7.612813620071684,0.6367499127188045,5.875,7.236111111111111,7.705555555555556,7.993055555555555,8.586111111111112
Antalya,Aug 25,31,6.9502688172043,0.32252249326502436,6.152777777777778,6.776388888888889,6.936111111111111,7.190277777777778,7.4944444444444445
Antalya,Sep 25,30,5.726851851851851,0.5693728734264553,3.797222222222222,5.564583333333333,5.748611111111111,6.129166666666666,6.602777777777777
Antalya,Oct 25,31,4.093817204301075,0.8538459077586561,1.961111111111111,3.718055555555556,4.205555555555556,4.831944444444444,5.319444444444445
Antalya,Nov 25,30,2.7694444444444444,0.6405097713032575,1.0194444444444444,2.470138888888889,2.7986111111111107,3.2888888888888888,3.7416666666666667
Antalya,Dec 25,31,2.2164874551971327,0.7544258764296745,0.46388888888888885,1.8375,2.6305555555555555,2.8208333333333333,2.9722222222222223
Antalya,Jan 26,31,2.0552867383512545,0.789350854188153,0.4472222222222222,1.448611111111111,1.9,2.770833333333333,3.4305555555555554
Antalya,Feb 26,28,3.246329365079365,1.051619000692463,1.4972222222222222,2.4493055555555556,3.373611111111111,4.081944444444445,4.952777777777778
Antalya,Mar 26,31,4.285035842293906,1.3495782524840336,1.7305555555555556,3.1875,4.991666666666667,5.326388888888889,5.786111111111111
Antalya,Apr 26,30,5.3640740740740736,1.5449558356561512,1.3666666666666665,4.746527777777779,5.572222222222222,6.704861111111111,7.547222222222222
Antalya,May 26,30,6.629351851851851,1.1368034554319868,3.5638888888888887,6.11736111111111,6.804166666666667,7.508333333333333,8.366666666666665
Konya,Jun 25,30,8.044074074074073,0.9084918585622727,5.302777777777777,7.71736111111111,8.36111111111111,8.681249999999999,8.966666666666667
Konya,Jul 25,31,7.832706093189963,0.7705249498839962,5.277777777777778,7.472222222222223,7.919444444444444,8.405555555555555,8.891666666666666
