city,season,n,abs_d_ghi_mean,abs_d_ghi_median,abs_d_ghi_p90,abs_d_ghi_p99,abs_d_ghi_p999,abs_d_ghi_max,share_above_200,abs_d_kt_mean,abs_d_kt_median,abs_d_kt_p90,abs_d_kt_p99,share_kt_above_0.3
Ankara,Tümü,30442,103.8006060705604,104.68499999999997,187.24899999999997,210.8377,315.512540000005,458.88,0.03626568556599435,0.03299483046877836,0.015105727898941157,0.08953867293536283,0.21512000160356512,0.0036716897422167825
Ankara,Kış,6494,73.86676008623344,68.66000000000003,141.05700000000002,181.36979999999994,218.05414000000107,301.04999999999995,0.0018478595626732369,0.03896423982305346,0.02364221029954683,0.09504361283071994,0.22921746656901418,0.004085422469823584
Ankara,İlkbahar,7757,108.63957844527523,108.96999999999991,193.37600000000006,223.30239999999992,363.9157600000024,435.36999999999995,0.0689699626144128,0.045333727330711934,0.026656820094543343,0.1132727541022539,0.2465682606638193,0.006325389820535452
Ankara,Yaz,8884,122.15350405222873,133.26,194.62000000000003,214.81189999999998,334.0392000000014,458.88,0.05155335434488969,0.02413813160829593,0.004757495640348608,0.07450518763713435,0.19229137309517083,0.002422233554309026
Ankara,Sonbahar,7307,102.95310934720133,105.25999999999999,179.45800000000003,201.82339999999996,223.0231200000023,311.40000000000003,0.013548651977555769,0.02538686439939256,0.009615592607908674,0.07019264058578494,0.1830781799620019,0.0019611047556790323
Antalya,Tümü,30136,111.46050205734004,115.01999999999998,192.40000000000003,218.50600000000006,278.2651000000028,423.38000000000005,0.061620653039554024,0.03512307692935666,0.025150030807136736,0.07722981291882029,0.18465988047075546,0.0014776085473971357
Antalya,Kış,6557,84.79513649534847,82.72000000000003,153.08800000000002,189.55199999999996,206.23108000000002,239.63,0.0033551929235931064,0.047305083305909254,0.03707635844559143,0.09879380248432108,0.19847719485687249,0.0019562511115063133
Antalya,İlkbahar,7665,116.55075407697326,120.37,198.642,226.4236,293.9575200000004,375.57,0.0928897586431833,0.04243530663276609,0.030372936466491307,0.09407867472153963,0.22407089622208343,0.0026682478505781204
Antalya,Yaz,8610,128.75552613240419,144.16000000000003,200.23200000000003,220.64469999999994,294.7484700000031,423.38000000000005,0.10185830429732869,0.02103612792297922,0.013437987073930902,0.04653199141544473,0.13278402678852505,0.0006446621970087674
Antalya,Sonbahar,7304,109.66940991237678,114.12,184.75,209.19940000000005,240.74124000000094,316.36999999999995,0.033680175246440305,0.03375613691642129,0.027956354672471373,0.06828356251878226,0.16166869058863598,0.0007975753708725474
Konya,Tümü,30403,108.83840640726244,109.55,193.02999999999997,215.62959999999998,306.45896000000266,473.73,0.06242804986350031,0.0322304161028881,0.013704439142777858,0.08840266350725585,0.21926732999098691,0.003545153051500019
Konya,Kış,6531,82.0666513550758,75.83000000000001,154.27999999999997,197.591,291.266300000005,367.74,0.008880722707089266,0.04301194631425645,0.024027407716556037,0.10552472879332368,0.2685965576402075,0.006788990825688073
Konya,İlkbahar,7706,111.35795743576433,111.30999999999999,196.815,226.5859999999997,341.80690000000374,473.73,0.08850246561121204,0.04472517760854391,0.02779724882676643,0.10993350816271934,0.24659490051899494,0.005441976761288425
Konya,Yaz,8817,126.36096744924579,138.9699999999999,199.79999999999998,213.53719999999998,284.4019200000065,368.1,0.09799251446070092,0.020768745043258083,0.0037350742411626503,0.06433547439293502,0.16632950055887227,0.0010248526774276198
Konya,Sonbahar,7349,108.96553272554088,109.88,188.75,208.6752,256.9074800000043,425.45,0.04000544291740373,0.023450646138912803,0.006895750412282242,0.06674070055655835,0.18147264141471395,0.00178051149239236
Rize,Tümü,30259,87.25754221884397,81.76999999999998,166.55,211.55939999999987,295.79086000000666,521.1200000000001,0.016325721273009682,0.04507300497804146,0.030024896059882872,0.1052177294358869,0.2312598835554676,0.003194765204003079
Rize,Kış,6232,63.902334724005144,57.099999999999994,128.61100000000005,169.01149999999987,188.24973000000028,195.25,0.0,0.04062310512134884,0.02728959224660099,0.09402644681150554,0.213601924352167,0.0015334483419589802
Rize,İlkbahar,7796,93.12780015392508,87.015,177.57999999999996,233.0555000000001,353.00670000000474,451.50000000000006,0.032837352488455616,0.05107839654223122,0.033748250260283524,0.11952720436010761,0.26591936644820574,0.005812220566318927
Rize,Yaz,9021,101.52824853120498,102.13,176.89999999999998,218.22000000000003,332.1054000000342,521.1200000000001,0.02261390089790489,0.04633945740572386,0.0313820528243296,0.10892298610917792,0.2275046289623931,0.0029022082018927446
Rize,Sonbahar,7210,83.24215811373094,78.94999999999999,155.82500000000002,190.48039999999995,245.3631700000063,309.23,0.004715672676837725,0.04064779523053315,0.02708873004530593,0.0943433203580917,0.20996661588526885,0.0021214099216710185
Van,Tümü,30403,111.71305660625596,114.54999999999995,194.55,216.85959999999994,315.8182400000087,1113.7600000000002,0.07088116304312074,0.03682985508825987,0.018049219160625074,0.09484670181805839,0.24189826713322643,0.005211305108600555
