city,scope,reference,n,RMSE,MAE,R2,bias
Ankara,24h,persistence,9097,85.8803209532411,35.86011261343788,0.9066073124350155,-0.41069705519524174
Ankara,24h,climatology,9097,77.17392788796744,38.823206535329014,0.9245834319134191,-0.9210319363547936
Antalya,24h,persistence,9097,75.65578070889099,30.27677011957544,0.930934618424976,-0.2876406141218717
Antalya,24h,climatology,9097,69.2540253814241,32.01797186487065,0.9421283020508624,4.320701948384491
Konya,24h,persistence,9097,82.1849138989543,34.39595471034407,0.9196298078319318,-0.2113028715205256
Konya,24h,climatology,9097,76.26384888031758,37.73286145076903,0.9307932847875517,-0.8300158126045641
Rize,24h,persistence,9097,110.15595956353171,50.83727236085156,0.7789242488064916,0.10076582023377664
Rize,24h,climatology,9097,95.58182182653212,50.344173614277956,0.8335530959292851,2.6467711311563615
Van,24h,persistence,9097,75.97960341634068,32.783396235633234,0.9297417255652232,0.17374470216066332
Van,24h,climatology,9097,70.52834825745948,34.43470188877078,0.9394616109008415,3.7084973842111917
All,24h,persistence,45485,86.90319017958878,36.83070120796844,0.9019157651684699,-0.12702600368863973
All,24h,climatology,45485,78.33038030653556,38.67058307080349,0.9203128600850745,1.7849845429585374
Ankara,daylight,persistence,4628,120.4048991123356,70.45159896283492,0.8180552839123664,-0.8066839527513686
Ankara,daylight,climatology,4628,108.19454760834515,76.15249704105527,0.8530864402102089,-1.916786707003271
Antalya,daylight,persistence,4617,106.1965579634106,59.63949654657905,0.8607772617554813,-0.5679493658700933
Antalya,daylight,climatology,4617,97.20731415302575,62.974060082032516,0.8833493461733674,8.434349670638026
Konya,daylight,persistence,4611,115.43613740645061,67.82452589219017,0.838724496281852,-0.41687751512084675
Konya,daylight,climatology,4611,107.11539820839326,74.28173373026908,0.8611363272978528,-1.7370988280696023
Rize,daylight,persistence,4645,154.1571398921179,99.54132280827653,0.6146989931079219,0.19555077143882363
Rize,daylight,climatology,4645,133.75907620655744,98.45096604026845,0.7099189378257968,5.063537963117853
Van,daylight,persistence,4635,106.44367948353575,64.32098765432099,0.8563520972753108,0.3404051300491431
Van,daylight,climatology,4635,98.80039315105114,67.42119746141908,0.876240975359317,7.152543933824729
All,daylight,persistence,23136,121.84969520552798,72.38250633932688,0.8105945387790833,-0.25033137390502536
All,daylight,climatology,23136,109.82562847479582,75.87742277946676,0.846131047551148,3.403047883171495
