city,season,HR,n,mean,median,q25,q75
Ankara,Sonbahar,9,637,481.79208791208794,489.6,377.6,614.65
Ankara,Sonbahar,10,637,569.9469858712715,585.78,457.77,715.15
Ankara,Sonbahar,11,637,592.0955729984302,607.03,488.27,741.45
Ankara,Sonbahar,12,637,563.805557299843,571.9,446.33,708.0
Ankara,Sonbahar,13,637,484.40769230769234,478.52,375.92,620.97
Ankara,Sonbahar,14,637,369.98009419152277,348.33,263.0,501.55
Ankara,Sonbahar,15,637,225.6287284144427,198.27,126.18,329.05
Ankara,Sonbahar,16,637,86.60450549450549,55.5,13.43,146.1
Ankara,Sonbahar,17,637,13.761695447409734,0.0,0.0,16.92
Ankara,Sonbahar,18,637,0.0,0.0,0.0,0.0
Ankara,Sonbahar,19,637,0.0,0.0,0.0,0.0
Ankara,Sonbahar,20,637,0.0,0.0,0.0,0.0
Ankara,Sonbahar,21,637,0.0,0.0,0.0,0.0
Ankara,Sonbahar,22,637,0.0,0.0,0.0,0.0
Ankara,Sonbahar,23,637,0.0,0.0,0.0,0.0
Antalya,Kış,0,632,0.0,0.0,0.0,0.0
Antalya,Kış,1,632,0.0,0.0,0.0,0.0
Antalya,Kış,2,632,0.0,0.0,0.0,0.0
Antalya,Kış,3,632,0.0,0.0,0.0,0.0
Antalya,Kış,4,632,0.0,0.0,0.0,0.0
Antalya,Kış,5,632,0.0,0.0,0.0,0.0
Antalya,Kış,6,632,0.28931962025316454,0.0,0.0,0.0
Antalya,Kış,7,632,34.759287974683545,25.98,18.157500000000002,41.655
Antalya,Kış,8,632,150.66745253164558,150.45499999999998,102.1875,183.9625
Antalya,Kış,9,632,277.35808544303796,285.32500000000005,196.99,340.88250000000005
Antalya,Kış,10,632,376.8173101265823,391.775,275.735,464.09
Antalya,Kış,11,632,431.3068670886076,456.15999999999997,320.44,530.9175
Antalya,Kış,12,632,431.26284810126583,453.195,313.23249999999996,539.9549999999999
Antalya,Kış,13,632,375.67471518987344,391.5,268.31,472.2325
Antalya,Kış,14,632,282.8528955696203,283.365,194.9675,364.2975
Antalya,Kış,15,632,166.0022151898734,148.825,103.15,224.9075
Antalya,Kış,16,632,52.50990506329114,33.94,15.0575,80.27000000000001
Antalya,Kış,17,632,3.330522151898734,0.0,0.0,4.7125
Antalya,Kış,18,632,0.0,0.0,0.0,0.0
Antalya,Kış,19,632,0.0,0.0,0.0,0.0
Antalya,Kış,20,632,0.0,0.0,0.0,0.0
Antalya,Kış,21,632,0.0,0.0,0.0,0.0
