city,resolution,lag,acf,pacf
Ankara,saatlik,1,0.9625365810576761,0.9625365810576761
Ankara,saatlik,2,0.9226740379151398,-0.051720072425368184
Ankara,saatlik,3,0.8767582862825337,-0.102278640414344
Ankara,saatlik,4,0.8341497205284416,0.025687127073093466
Ankara,saatlik,5,0.7945803664170566,0.0223814535449673
Ankara,saatlik,6,0.7586345936826752,0.017690964172005233
Ankara,saatlik,7,0.7245832710846716,-0.0021149804084753796
Ankara,saatlik,8,0.6844117754728798,-0.10941534681328997
Ankara,saatlik,9,0.63854242485975,-0.09682710846044541
Ankara,saatlik,10,0.6053746787951745,0.17499474311707885
Ankara,saatlik,11,0.5524366034001749,-0.3097422912262833
Ankara,saatlik,12,0.4647372581018128,-0.6082642518011558
Ankara,saatlik,13,0.4563140049960027,
Ankara,saatlik,14,0.46226383081267997,
Ankara,saatlik,15,0.46782020156269544,
Ankara,saatlik,16,0.4781932824580999,
Ankara,saatlik,17,0.4847793307241754,
Ankara,saatlik,18,0.4878729177360513,
Ankara,saatlik,19,0.4866807509460654,
Ankara,saatlik,20,0.484750074997633,
Ankara,saatlik,21,0.48239876433259643,
Ankara,saatlik,22,0.4823822050881013,
Ankara,saatlik,23,0.48321375662032745,
Ankara,saatlik,24,0.478506144657663,
Ankara,saatlik,25,0.47068593073283127,
Ankara,saatlik,26,0.45833586488776223,
Ankara,saatlik,27,0.44656250899518246,
Ankara,saatlik,28,0.4379092051731388,
Ankara,saatlik,29,0.4268422054429806,
Ankara,saatlik,30,0.41181784249961156,
Ankara,saatlik,31,0.3924388561769403,
Ankara,saatlik,32,0.3645214381686364,
Ankara,saatlik,33,0.33574175975909715,
Ankara,saatlik,34,0.30914546409497784,
Ankara,saatlik,35,0.27357555056291777,
Ankara,saatlik,36,0.21849209747989562,
Ankara,saatlik,37,0.249613962640201,
Ankara,saatlik,38,0.2701078698379246,
Ankara,saatlik,39,0.28302757601210454,
Ankara,saatlik,40,0.29987216491669033,
Ankara,saatlik,41,0.3125351889635631,
Ankara,saatlik,42,0.31908584814777335,
Ankara,saatlik,43,0.3228203105045255,
Ankara,saatlik,44,0.3252318337952995,
Ankara,saatlik,45,0.326131785181876,
Ankara,saatlik,46,0.3285340052324611,
Ankara,saatlik,47,0.3298919332021047,
Ankara,saatlik,48,0.32887924589396256,
Ankara,saatlik,49,0.3252621433023393,
Ankara,saatlik,50,0.3189508520724353,
Ankara,saatlik,51,0.31364205391612476,
Ankara,saatlik,52,0.3093858434122078,
Ankara,saatlik,53,0.3061229596295682,
Ankara,saatlik,54,0.29881769564557975,
Ankara,saatlik,55,0.2888299108453305,
Ankara,saatlik,56,0.2729027612297361,
Ankara,saatlik,57,0.26016630526673706,
Ankara,saatlik,58,0.24678408610659588,
Ankara,saatlik,59,0.2305086450020126,
Ankara,saatlik,60,0.1971554460972414,
Ankara,saatlik,61,0.2264069500686428,
Ankara,saatlik,62,0.24117846043194707,
Ankara,saatlik,63,0.2487261747604162,
Ankara,saatlik,64,0.26087270458954415,
Ankara,saatlik,65,0.2703909185840145,
Ankara,saatlik,66,0.2758679840266023,
Ankara,saatlik,67,0.27830578066639067,
Ankara,saatlik,68,0.2804404003125326,
Ankara,saatlik,69,0.28145492257043725,
Ankara,saatlik,70,0.28341041279077733,
Ankara,saatlik,71,0.28668392593911113,
Ankara,saatlik,72,0.2866513295348529,
Ankara,günlük,1,0.5304634229513585,0.5304634229513585
Ankara,günlük,2,0.3620515038349849,0.11224478190528049
Ankara,günlük,3,0.3130351864324573,0.11696845080545205
Ankara,günlük,4,0.2810189510550149,0.07854683045295124
Ankara,günlük,5,0.2750274506068604,0.08838828612489508
Ankara,günlük,6,0.26445154913836555,0.06567502807878177
Ankara,günlük,7,0.2540423450259873,0.05725251062844105
Ankara,günlük,8,0.24040225331351125,0.04269473255272283
Ankara,günlük,9,0.22908480498900824,0.038104713783022555
Ankara,günlük,10,0.2568648450348661,0.08751688203954373
Ankara,günlük,11,0.23931917850528805,0.023933970800344626
Ankara,günlük,12,0.2228467228261703,0.025115867470589113
Ankara,günlük,13,0.21835260333038026,0.030627801534185334
Ankara,günlük,14,0.21615989832657423,0.031748258850423886
Ankara,günlük,15,0.21435212262664027,0.02864173866745792
Ankara,günlük,16,0.23339629245248564,0.058703079708871966
Ankara,günlük,17,0.2028124659993707,-0.01094722201687697
Ankara,günlük,18,0.19853942434615768,0.024158947174457646
Ankara,günlük,19,0.18444700361723435,0.0011583443489187896
Ankara,günlük,20,0.17769666861255093,0.007586187101671118
