city,season,n_days,clearness_mean,clearness_median,clear_day_share,overcast_day_share,daily_kwh_mean,daily_kwh_cv
Ankara,Tümü,2464,0.8056439047787909,0.8760550935643759,0.45413961038961037,0.1075487012987013,4.65611049512987,0.4927920575784613
Ankara,Kış,630,0.7151161125023213,0.7388504341372839,0.3142857142857143,0.22380952380952382,2.21582919047619,0.4313749831434356
Ankara,İlkbahar,582,0.7671592782338639,0.8030871311505718,0.36769759450171824,0.12371134020618557,5.255561615120275,0.3421705894896493
Ankara,Yaz,615,0.8974227756412351,0.9311768439575555,0.6146341463414634,0.004878048780487805,7.285320796747967,0.1422110671132457
Ankara,Sonbahar,637,0.8417295503092783,0.908445766996044,0.5164835164835165,0.07692307692307693,3.983476797488226,0.36628596418570275
Antalya,Tümü,2464,0.8503078050538407,0.9203213271519524,0.5568181818181818,0.07832792207792208,4.945458900162338,0.43996431711931466
Antalya,Kış,630,0.7580029370091957,0.8086072378184566,0.38571428571428573,0.17936507936507937,2.5778268095238097,0.3821552248512094
Antalya,İlkbahar,582,0.8302151135583491,0.880379292821458,0.4690721649484536,0.0859106529209622,5.658729536082474,0.2834428053697175
Antalya,Yaz,615,0.9350424092747254,0.9530364728082511,0.7821138211382114,0.004878048780487805,7.453255382113821,0.1003047277429551
Antalya,Sonbahar,637,0.8781480432369783,0.9249509617666525,0.5886970172684458,0.0423861852433281,4.214202810047095,0.322677077968538
Konya,Tümü,2464,0.8182044642680502,0.8902066220749301,0.47686688311688313,0.10349025974025974,4.873357451298701,0.4607287069331356
Konya,Kış,630,0.7326939976644856,0.7766428183497678,0.3333333333333333,0.2222222222222222,2.5032537936507935,0.3959952693827462
Konya,İlkbahar,582,0.7784082945099761,0.8227842122849074,0.3745704467353952,0.1254295532646048,5.388091013745704,0.33077034123382587
Konya,Yaz,615,0.9070402347600645,0.9407369097737457,0.6373983739837399,0.0032520325203252032,7.444885333333334,0.1300379434494416
Konya,Sonbahar,637,0.8533676760527533,0.9214961741556755,0.5572998430141287,0.06279434850863422,4.264410392464679,0.3456307913334573
Rize,Tümü,2464,0.727467928456872,0.7911258639359324,0.3676948051948052,0.23457792207792208,3.6861119967532465,0.5693211752472385
Rize,Kış,630,0.6641638884017055,0.6650428185918847,0.2968253968253968,0.3380952380952381,1.7754898095238094,0.5022464460079462
Rize,İlkbahar,582,0.7178807787303365,0.7656131475437342,0.3694158075601375,0.24570446735395188,4.345977457044673,0.4477088495902183
Rize,Yaz,615,0.7907527382369671,0.8525100691644889,0.42276422764227645,0.13170731707317074,5.714026552845529,0.2786908885727663
Rize,Sonbahar,637,0.7377365444079556,0.8087788834542081,0.38304552590266877,0.22135007849293564,3.0149704395604395,0.4595774080713058
Van,Tümü,2464,0.8449683004481418,0.9100104962493992,0.5215097402597403,0.060876623376623376,4.982586911525973,0.4488207166247766
Van,Kış,630,0.8123028062588016,0.8768056581574101,0.4492063492063492,0.08095238095238096,2.709990507936508,0.3252077522271698
Van,İlkbahar,582,0.8064194207583767,0.8474536147630465,0.3917525773195876,0.08247422680412371,5.414470085910653,0.3180703541722527
Van,Yaz,615,0.9166037351842795,0.9445941997121655,0.697560975609756,0.0,7.640657837398376,0.12000218568465881
Van,Sonbahar,637,0.8433339471608611,0.9223878955262262,0.5416012558869702,0.08006279434850863,4.269346891679748,0.3665947377379883
