variable,variable_label,pearson_Ankara,pearson_Antalya,pearson_Konya,pearson_Rize,pearson_Van,pearson_Tümü,partial_r_within_hour_pooled,partial_r_within_hour_Ankara,partial_r_within_hour_Antalya,partial_r_within_hour_Konya,partial_r_within_hour_Rize,partial_r_within_hour_Van
T2M,T2M (°C),0.5493084957005622,0.5381120613379317,0.5536204604432409,0.4567095639709648,0.5567693256859906,0.5147924828987435,0.30686931165602327,0.2897767242518612,0.24982394193992735,0.368582849498816,0.3113148965768559,0.30228712585959605
RH2M,RH2M (%),-0.6545610615068602,-0.6382509663323496,-0.6257255060705234,-0.6418981602704741,-0.6289947015839056,-0.6278755605884107,-0.5300795288537474,-0.5403424458362652,-0.5649876698181568,-0.5412582947012824,-0.5564917207319281,-0.48379942977560136
T2MDEW,T2MDEW (°C),0.08517616742579627,0.013373443262359893,0.1030302189403799,0.22114879021634787,0.07205869851642198,0.041603169601877155,-0.2717326910376108,-0.2885078955467399,-0.3784687735425361,-0.23634739123491885,-0.15177632819389997,-0.3456939692785184
PS,PS (kPa),0.04690382222041332,-0.15116556857637187,0.02914766170578269,-0.003011590649797965,0.11961591399527167,-0.03797627826157197,0.26834255700211546,0.34251816267037166,0.2508762595689677,0.28588740296461773,0.1919710514469131,0.3005726245669536
WS2M,WS2M (m/s),0.11972066170855712,-0.01637921471191916,0.11726798353180043,0.017930834253889076,0.25079380326488815,0.14261597497495518,-0.14999699527056026,-0.14837140246355748,-0.09708277028273547,-0.1434555617389812,-0.25521446214188176,-0.14281353799549232
PRECTOTCORR,PRECTOTCORR (mm/saat),-0.1012391763768245,-0.17771913356464478,-0.11555147776906671,-0.21892616941515047,-0.13872585408155183,-0.1683841118634948,-0.32796683676902394,-0.31874080945864275,-0.33631836901674433,-0.28830745763074506,-0.38372707752186347,-0.35479211373489283
