horizon_step,RMSE,MAE,CP,PINW,MPIW,Reliability,CWC,CRPS,n_samples
1,57.904219106635196,44.385521211876465,0.7449665949496094,0.16816481019156299,175.69018351778357,0.20503340505039058,4764.247031728198,33.27193659609881,44155
2,60.02388941339421,46.26903329070972,0.700237798663798,0.16548349205339846,172.88887642370685,0.24976220133620197,43880.705973457036,34.6471919550238,44155
3,64.376330038705,49.021080920583756,0.6661986185030008,0.1638140426680062,171.1447191974768,0.2838013814969992,238242.98608569708,36.76811071756445,44155
4,68.92149491117087,52.0041415957612,0.6425093420903635,0.16350795123627232,170.82493017768553,0.3074906579096365,777344.9231691794,38.84755521861782,44155
5,72.07998063877318,53.71011638109007,0.6429849394179594,0.16450552597019075,171.8671463694987,0.30701506058204053,763709.0169155647,39.962875390887376,44155
6,73.79142650168109,54.03692287123552,0.6537198505265542,0.1650722833621506,172.45926614824467,0.2962801494734457,448039.2064999396,40.16914035816275,44155
7,74.67369012429832,54.059488629068895,0.6599026157853017,0.1641723717746301,171.51908352750996,0.2900973842146982,327103.31791999424,40.138872599240266,44155
8,75.41945131773096,54.36895644971418,0.6631638546031027,0.1637974846386667,171.12742019651438,0.2868361453968973,277252.3542627024,40.55665173506582,44155
9,76.59555451690606,55.31367094041099,0.6537651455101348,0.16226719312752352,169.52864815780913,0.2962348544898652,439429.3057515171,41.12670561939056,44155
10,77.66034478264221,56.096053880581195,0.6461555882685992,0.1621263528674022,169.38150529766364,0.30384441173140075,642319.7728328545,41.454491953181886,44155
11,78.19757248048968,56.02793867510985,0.6681010078133847,0.16322142942446033,170.52558651808306,0.2818989921866153,215842.19224888642,41.195066779424636,44155
12,78.17265007583765,55.42715109818634,0.6868757785075303,0.16408909673515884,171.43208193097803,0.2631242214924696,84869.26411184586,40.66090869536609,44155
13,78.74774191384873,55.31716553047836,0.6960027176990148,0.16438369809197106,171.73986669512678,0.25399728230098517,53869.25603937226,40.65900884029661,44155
14,80.32030687976965,56.23632265931777,0.7057637866606273,0.16445844663577477,171.8179602354079,0.24423621333937262,33081.12951889232,41.4965513355583,44155
15,81.97993703773139,57.77483938376308,0.6937153210281961,0.1634013920678368,170.7136024876854,0.25628467897180385,60035.48560529026,42.55527506503028,44155
16,82.37417837163323,58.22837364622811,0.6853131015740007,0.1634254649522651,170.7387526334156,0.26468689842599924,91395.21876622138,42.71612644415022,44155
17,82.54240437453497,58.65626107474811,0.6788359189219794,0.16374774290760313,171.07545252355658,0.2711640810780206,126598.65428932948,42.84240403469754,44155
18,82.21649917818148,58.531129890461465,0.676729702185483,0.16464608160507202,172.01399186742788,0.27327029781451695,141429.8319944857,42.885927128243914,44155
19,81.86692277266212,58.05040870238364,0.6760729249235647,0.16523769545039216,172.63208042553677,0.2739270750764352,146676.47898157832,42.82507605910032,44155
20,80.81138818281673,56.99014231487017,0.6823009851658929,0.16696128406311853,174.43279960890283,0.2676990148341071,108549.21617588696,42.321279724110745,44155
21,80.7797441879435,57.123634915981384,0.6848148567546144,0.1676079531410323,175.10840712063208,0.26518514324538556,96098.71923423136,42.44732876921819,44155
22,81.12799097514223,57.7453809694532,0.6787906239383988,0.16772508909276496,175.23078490486054,0.2712093760616011,129967.67949335997,42.81469061981211,44155
23,81.89201483121232,58.48355865101211,0.6615332351942023,0.1673135285209149,174.80080700214324,0.2884667648057977,307261.0449075545,43.439019926113254,44155
24,82.94445733433159,58.926555892211304,0.6543539802966821,0.16653332929152162,173.98569386618814,0.29564601970331783,437898.11660005007,43.78299268645186,44155
