group,horizon_step,subset,RMSE,MAE,R2,CP,PINW,MPIW,Reliability,CWC,n_samples,n_elements,CRPS
Rize,1,all_hours,59.40108108520508,34.03792190551758,0.9335943641292785,0.9391914845430869,0.15616922080516815,153.20201110839844,0.010808515456913081,0.4242708014441961,8831,8831,
Rize,2,all_hours,62.05087661743164,35.0125732421875,0.9275377053134483,0.9383988223304269,0.15447458624839783,151.53956604003906,0.011601177669573026,0.43038838014792224,8831,8831,
Rize,3,all_hours,66.6559066772461,37.15275192260742,0.9163831925258474,0.9223191031593251,0.15294300019741058,150.03707885742188,0.027680896840674873,0.7633403549208686,8831,8831,
Rize,4,all_hours,71.39232635498047,39.70343780517578,0.904077746670639,0.9114483070999887,0.15204910933971405,149.16017150878906,0.03855169290001126,1.1970658681679294,8831,8831,
Rize,5,all_hours,74.15202331542969,40.79062271118164,0.8965186047041327,0.903181972596535,0.15288801491260529,149.98313903808594,0.04681802740346497,1.741485934960466,8831,8831,
Rize,6,all_hours,75.8038558959961,41.707275390625,0.8918576621156108,0.8995583739100894,0.15037986636161804,147.52264404296875,0.05044162608991054,2.023284603002801,8831,8831,
Rize,7,all_hours,76.67801666259766,41.810184478759766,0.8893529908373643,0.895934775223644,0.1490509808063507,146.21900939941406,0.054065224776356,2.374134296834091,8831,8831,
Rize,8,all_hours,77.9876480102539,42.59061813354492,0.8855432536635197,0.8976333371079153,0.149065300822258,146.23306274414062,0.05236666289208469,2.1931749925114694,8831,8831,
Rize,9,all_hours,79.55890655517578,43.52995681762695,0.8808813705117519,0.8936700260446155,0.1504620909690857,147.6033172607422,0.056329973955384416,2.665919310348276,8831,8831,
Rize,10,all_hours,80.33219146728516,43.65727233886719,0.878536469020207,0.8885743403918016,0.15258020162582397,149.68118286132812,0.061425659608198346,3.443667748560824,8831,8831,
Rize,11,all_hours,80.67105865478516,43.67045593261719,0.87746948797213,0.8923111765371985,0.1530933678150177,150.18460083007812,0.057688823462801464,2.8924795565173804,8831,8831,
Rize,12,all_hours,81.0906982421875,44.126678466796875,0.8761303617135499,0.8925376514551013,0.1535530388355255,150.63552856445312,0.05746234854489862,2.870226624580685,8831,8831,
Rize,13,all_hours,81.5727310180664,44.58129119873047,0.8745814945843435,0.879515343675688,0.15392643213272095,151.0018310546875,0.070484656324312,5.376301603514006,8831,8831,
Rize,14,all_hours,82.50015258789062,45.515869140625,0.8716903608904185,0.8786094440040766,0.15420395135879517,151.27407836914062,0.07139055599592337,5.628417419030316,8831,8831,
Rize,15,all_hours,83.48750305175781,46.629913330078125,0.8686024888848426,0.8813271430189107,0.1539561003446579,151.0309295654297,0.06867285698108927,4.924952009771475,8831,8831,
Rize,16,all_hours,84.06706237792969,46.92436599731445,0.8667769903171989,0.8866493035896275,0.15599863231182098,153.03465270996094,0.0633506964103725,3.8607893900746406,8831,8831,
Rize,17,all_hours,84.0511474609375,46.64356231689453,0.8668261044123899,0.8832521798210848,0.15774281322956085,154.74569702148438,0.06674782017891512,4.597508813319658,8831,8831,
Rize,18,all_hours,84.16410064697266,46.664146423339844,0.8664640034520236,0.8914052768655871,0.15648140013217926,153.5082550048828,0.05859472313441283,3.0862341438542313,8831,8831,
Rize,19,all_hours,84.16031646728516,46.47818374633789,0.8664752617945825,0.8890272902276073,0.1561206728219986,153.1543731689453,0.060972709772392664,3.448167349671047,8831,8831,
Rize,20,all_hours,84.341064453125,46.77210235595703,0.8659011297066707,0.8804212433472993,0.15346276760101318,150.54698181152344,0.06957875665270064,5.129533325176456,8831,8831,
