group,horizon_step,subset,RMSE,MAE,R2,CP,PINW,MPIW,Reliability,CWC,n_samples,n_elements,CRPS
Ankara,1,all_hours,46.56493377685547,27.146440505981445,0.9725313755402515,0.9542520665836258,0.1746588498353958,177.9826202392578,0.004252066583625869,0.1746588498353958,8831,8831,
Ankara,2,all_hours,48.215145111083984,28.34271812438965,0.9705499586201802,0.9536858792888687,0.174124076962471,177.4376678466797,0.0036858792888687653,0.174124076962471,8831,8831,
Ankara,3,all_hours,52.784488677978516,30.504030227661133,0.9647034991203591,0.9499490431434718,0.1744290292263031,177.7484130859375,5.09568565281171e-05,0.3493030428378562,8831,8831,
Ankara,4,all_hours,57.75678634643555,33.125762939453125,0.9577404373049646,0.9428150832295323,0.174238920211792,177.5546875,0.00718491677046762,0.423792415094581,8831,8831,
Ankara,5,all_hours,62.357513427734375,35.48067092895508,0.9507397529287644,0.9334163741365644,0.17231719195842743,175.5963897705078,0.016583625863435536,0.5671720348224348,8831,8831,
Ankara,6,all_hours,65.84098052978516,37.457698822021484,0.9450843687601826,0.929566300532216,0.1708296835422516,174.08058166503906,0.02043369946778395,0.6453725863670343,8831,8831,
Ankara,7,all_hours,67.90629577636719,38.566200256347656,0.9415867202145743,0.9299060129090703,0.17120423913002014,174.46226501464844,0.020093987090929688,0.6387777501641123,8831,8831,
Ankara,8,all_hours,68.95771789550781,38.89433288574219,0.9397595571536773,0.9297927754501188,0.1722380518913269,175.5157470703125,0.02020722454988111,0.6453058762329125,8831,8831,
Ankara,9,all_hours,68.86205291748047,38.43489456176758,0.9399149746763824,0.9286604008606046,0.17359769344329834,176.90126037597656,0.021339599139395315,0.6781747025159067,8831,8831,
Ankara,10,all_hours,68.67945098876953,37.87190628051758,0.9402163355226704,0.9229985279130336,0.17436961829662323,177.68788146972656,0.02700147208696635,0.847036945110052,8831,8831,
Ankara,11,all_hours,69.07559967041016,37.914833068847656,0.9395026439255028,0.921752915864568,0.17362470924854279,176.9287872314453,0.028247084135431977,0.8864599631366874,8831,8831,
Ankara,12,all_hours,69.23357391357422,37.748653411865234,0.9392102669031427,0.927414788812139,0.1742565929889679,177.5727081298828,0.022585211187860943,0.713296412431212,8831,8831,
Ankara,13,all_hours,69.89450073242188,38.28553009033203,0.9380343176430961,0.921752915864568,0.1730366051197052,176.32949829101562,0.028247084135431977,0.8834573331157287,8831,8831,
