month,n_calibration,k
1,36946,1.0336524091550985
2,37280,1.0437134411225413
3,33325,1.1480045136543338
6,5624,1.0452555831069166
7,53718,0.9924931997846599
8,51880,0.9880241388412498
9,44865,1.0342983725066237
10,42049,1.028598840362074
11,37132,1.0230470104882623
12,36656,1.031286346050372
