horizon_step,RMSE,MAE,CP,PINW,MPIW,Reliability,CWC,CRPS,n_samples
1,75.0660515732453,58.760593902071676,0.7025478428264069,0.20929508611440933,218.66103881616806,0.24745215717359303,49444.29513745559,42.633745331345104,44155
2,76.18401612863218,59.9045829716072,0.6755067376288076,0.20972996436754493,219.11537786614082,0.2744932623711923,191516.59732928127,43.87369409570308,44155
3,77.95406574219088,60.85727904824677,0.6799909410032838,0.21173562044678776,221.21078703191296,0.2700090589967161,154513.61034002862,44.863651819742046,44155
4,79.59847367285006,61.52963665843345,0.690997622013362,0.21499315804930003,224.61409940475428,0.25900237798663794,90487.97074224542,45.54032297017509,44155
5,81.12444712078926,62.05795535183915,0.6972709772392708,0.216858395329124,226.562806031445,0.25272902276072917,66698.89698495333,46.06457993742598,44155
6,82.58766106173559,63.20832242072071,0.6791982787906239,0.21627951916051452,225.9580251609334,0.27080172120937607,164210.3882543362,46.89549629318584,44155
7,83.79757564418823,64.2037784370819,0.6565960819839203,0.21462286943849707,224.2272403828673,0.2934039180160797,504500.1618076061,47.85839827173366,44155
8,85.49328524307228,65.47943122659863,0.6463367682029215,0.2124904970847599,221.9994443907714,0.30366323179707844,834262.8781881247,48.799641120716956,44155
9,87.39002942653276,66.88270300216858,0.6394519306986751,0.211317284245055,220.77373028995345,0.31054806930132484,1170579.0366098215,49.60778808399127,44155
10,89.62811866649538,68.47125577212041,0.6404484203374476,0.20987521003638118,219.26712327699067,0.3095515796625523,1106084.6664270977,50.31512327058596,44155
11,91.6918005187528,69.92111241274257,0.6493488846110294,0.20848850858895784,217.81836695570885,0.3006511153889706,704106.3658684512,50.78646395195948,44155
12,92.80112112948106,70.41543218791149,0.6595402559166572,0.20751302022931048,216.79922550316195,0.29045974408334274,421016.16300627874,50.7086426981541,44155
13,92.68445794225273,70.06622653816956,0.663345034537425,0.20798953267157252,217.29706187174676,0.28665496546257496,348879.3170804587,50.234116725060964,44155
14,92.43499117202552,69.6594735804775,0.6566187294757105,0.20831407434364255,217.6361267799175,0.2933812705242894,489116.3069873666,50.0871140095975,44155
15,91.55305616022663,68.82840928244586,0.6546031027063752,0.20957440022994836,218.95285223517206,0.2953968972936247,544252.6125971774,49.978407607631745,44155
16,89.91428905358897,67.38880211808139,0.6669006907484996,0.21234202649834313,221.84432974731635,0.2830993092515004,298167.0571688656,49.36480904483484,44155
17,88.97381919927004,66.67113134642656,0.6759370399728231,0.21541420513143406,225.0539883389819,0.2740629600271769,192520.23643602178,48.941228717898085,44155
18,88.83589284745734,66.53415547678367,0.6812818480353301,0.21747627193534555,227.20833260870424,0.26871815196466986,148782.90826626093,48.83430591255991,44155
19,88.88638763701059,66.62258082899073,0.6885969878835919,0.2185178840287589,228.29655683134436,0.26140301211640804,103700.81924425696,48.82759184477151,44155
20,89.1399432793631,66.65753776615969,0.690680557128298,0.21785898934632678,227.60817661943483,0.25931944287170194,93159.39397823217,48.79167552629497,44155
21,89.98131939016211,67.24093438461638,0.6846110293285018,0.21519381645211774,224.82373726879536,0.26538897067149814,124646.1341644425,48.85034532928903,44155
22,90.75237102191998,67.76180967884237,0.6840448420337447,0.21315261696413446,222.69119412714952,0.26595515796625524,127008.9351258154,48.976664717346075,44155
23,92.06511121465813,68.77596203061182,0.6721775563356358,0.21025820377420798,219.66725598019,0.27782244366436415,226772.85316767156,49.77447612637756,44155
24,93.8738497024691,70.12517695716366,0.6474012003170649,0.20760797111766283,216.8984254426784,0.302598799682935,772847.1105409076,51.139993773712916,44155
